location,sex,age,cause,value
Congo,Male,60 to 69,Cardiovascular diseases,29.83
Congo,Female,10 to 19,HIV/AIDS and sexually transmitted infections,31.69
Congo,Male,90+,Cardiovascular diseases,31.86
Congo,Male,0 to 9,Maternal and neonatal disorders,31.87
Congo,Both,60 to 69,Cardiovascular diseases,31.95
Congo,Male,80 to 89,Cardiovascular diseases,32.05
Congo,Both,0 to 9,Maternal and neonatal disorders,32.13
Congo,Male,70 to 79,Cardiovascular diseases,32.55
Congo,Female,0 to 9,Maternal and neonatal disorders,32.73
Congo,Both,30 to 39,HIV/AIDS and sexually transmitted infections,33.44
Congo,Female,60 to 69,Cardiovascular diseases,34.55
Congo,Female,40 to 49,HIV/AIDS and sexually transmitted infections,34.58
Congo,Both,90+,Cardiovascular diseases,37.66
Congo,Female,20 to 29,HIV/AIDS and sexually transmitted infections,38.22
Congo,Both,70 to 79,Cardiovascular diseases,38.78
Congo,Both,80 to 89,Cardiovascular diseases,40.55
Congo,Female,90+,Cardiovascular diseases,41.87
Congo,Female,30 to 39,HIV/AIDS and sexually transmitted infections,43.95
Congo,Female,70 to 79,Cardiovascular diseases,45.09
Congo,Female,80 to 89,Cardiovascular diseases,47.17
Cook Islands,Female,50 to 59,Cancer,33.33
Cook Islands,Both,All ages,Cardiovascular diseases,37.17
Cook Islands,Male,All ages,Cardiovascular diseases,37.36
Cook Islands,Female,60 to 69,Cardiovascular diseases,37.5
Cook Islands,Female,All ages,Cardiovascular diseases,38.33
Cook Islands,Both,70 to 79,Cardiovascular diseases,42.42
Cook Islands,Both,80 to 89,Cardiovascular diseases,42.42
Cook Islands,Both,60 to 69,Cardiovascular diseases,43.47
Cook Islands,Both,50 to 59,Cardiovascular diseases,46.66
Cook Islands,Both,40 to 49,Cardiovascular diseases,50
Cook Islands,Female,70 to 79,Cardiovascular diseases,50
Cook Islands,Male,60 to 69,Cardiovascular diseases,50
Cook Islands,Male,70 to 79,Cardiovascular diseases,50
Cook Islands,Male,80 to 89,Cardiovascular diseases,50
Cook Islands,Male,50 to 59,Cardiovascular diseases,55.55
Cook Islands,Both,90+,Cardiovascular diseases,66.66
Cook Islands,Female,80 to 89,Cardiovascular diseases,66.66
Cook Islands,Female,90+,Cardiovascular diseases,100
Cook Islands,Male,40 to 49,Cardiovascular diseases,100
Cook Islands,Male,90+,Cardiovascular diseases,100
Costa Rica,Male,40 to 49,Cancer,18.05
Costa Rica,Both,30 to 39,Cancer,19.06
Costa Rica,Both,10 to 19,Transport injuries,20.37
Costa Rica,Male,30 to 39,Transport injuries,22.04
Costa Rica,Male,10 to 19,Transport injuries,23.4
Costa Rica,Female,20 to 29,Cancer,23.63
Costa Rica,Both,20 to 29,Transport injuries,25.56
Costa Rica,Male,50 to 59,Cancer,25.98
Costa Rica,Female,10 to 19,Cancer,26.22
Costa Rica,Male,All ages,Cardiovascular diseases,26.45
Costa Rica,Both,40 to 49,Cancer,27.22
Costa Rica,Both,All ages,Cardiovascular diseases,27.3
Costa Rica,Female,All ages,Cardiovascular diseases,28.41
Costa Rica,Male,20 to 29,Transport injuries,28.94
Costa Rica,Female,70 to 79,Cancer,30.24
Costa Rica,Both,70 to 79,Cancer,30.9
Costa Rica,Male,70 to 79,Cardiovascular diseases,31.67
Costa Rica,Male,60 to 69,Cancer,31.79
Costa Rica,Male,80 to 89,Cardiovascular diseases,31.91
Costa Rica,Both,50 to 59,Cancer,32.44
Costa Rica,Both,80 to 89,Cardiovascular diseases,33.21
Costa Rica,Both,60 to 69,Cancer,34.58
Costa Rica,Female,80 to 89,Cardiovascular diseases,34.69
Costa Rica,Male,90+,Cardiovascular diseases,34.97
Costa Rica,Both,90+,Cardiovascular diseases,36.8
Costa Rica,Female,30 to 39,Cancer,38.18
Costa Rica,Female,90+,Cardiovascular diseases,38.41
Costa Rica,Female,60 to 69,Cancer,39.12
Costa Rica,Both,0 to 9,Maternal and neonatal disorders,42.19
Costa Rica,Female,0 to 9,Maternal and neonatal disorders,43.58
Costa Rica,Male,0 to 9,Maternal and neonatal disorders,44.55
Costa Rica,Female,50 to 59,Cancer,44.61
Costa Rica,Female,40 to 49,Cancer,46.2
Croatia,Male,30 to 39,Cancer,19.25
Croatia,Both,30 to 39,Cancer,26.89
Croatia,Male,40 to 49,Cancer,29.94
Croatia,Both,20 to 29,Transport injuries,31.06
Croatia,Both,10 to 19,Transport injuries,32.43
Croatia,Male,10 to 19,Transport injuries,34.61
Croatia,Male,20 to 29,Transport injuries,35
Croatia,Female,20 to 29,Cancer,35.29
Croatia,Female,10 to 19,Cancer,35.71
Croatia,Both,40 to 49,Cancer,37.45
Croatia,Male,All ages,Cardiovascular diseases,41.21
Croatia,Male,50 to 59,Cancer,41.31
Croatia,Male,70 to 79,Cardiovascular diseases,41.37
Croatia,Both,0 to 9,Maternal and neonatal disorders,42.17
Croatia,Male,60 to 69,Cancer,43.37
Croatia,Both,70 to 79,Cardiovascular diseases,44.16
Croatia,Both,60 to 69,Cancer,44.67
Croatia,Male,0 to 9,Maternal and neonatal disorders,45.33
Croatia,Both,50 to 59,Cancer,46
Croatia,Both,All ages,Cardiovascular diseases,47.26
Croatia,Female,0 to 9,Maternal and neonatal disorders,47.36
Croatia,Female,70 to 79,Cardiovascular diseases,47.63
Croatia,Female,60 to 69,Cancer,47.7
Croatia,Male,80 to 89,Cardiovascular diseases,50.29
Croatia,Female,30 to 39,Cancer,50.48
Croatia,Female,All ages,Cardiovascular diseases,53.18
Croatia,Both,80 to 89,Cardiovascular diseases,56.23
Croatia,Female,40 to 49,Cancer,57.79
Croatia,Female,50 to 59,Cancer,57.91
Croatia,Male,90+,Cardiovascular diseases,58.78
Croatia,Female,80 to 89,Cardiovascular diseases,60.21
Croatia,Both,90+,Cardiovascular diseases,64.81
Croatia,Female,90+,Cardiovascular diseases,67.3
Cuba,Male,30 to 39,Cardiovascular diseases,14.08
Cuba,Both,20 to 29,Transport injuries,15.85
Cuba,Both,10 to 19,Cancer,17.92
Cuba,Male,20 to 29,Transport injuries,18.09
Cuba,Both,30 to 39,Cancer,19.46
Cuba,Female,20 to 29,Cancer,20.93
Cuba,Female,10 to 19,Cancer,21.66
Cuba,Male,10 to 19,Unintentional injuries,23.52
Cuba,Male,40 to 49,Cardiovascular diseases,24.23
Cuba,Both,40 to 49,Cancer,29.94
Cuba,Both,0 to 9,Maternal and neonatal disorders,31.56
Cuba,Female,0 to 9,Other non-communicable diseases,32.61
Cuba,Male,0 to 9,Maternal and neonatal disorders,32.91
Cuba,Male,50 to 59,Cancer,32.99
Cuba,Female,30 to 39,Cancer,35.53
Cuba,Male,All ages,Cardiovascular diseases,35.72
Cuba,Male,60 to 69,Cancer,36.54
Cuba,Both,60 to 69,Cancer,37.17
Cuba,Both,50 to 59,Cancer,37.38
Cuba,Both,All ages,Cardiovascular diseases,37.51
Cuba,Male,70 to 79,Cardiovascular diseases,38.06
Cuba,Female,60 to 69,Cancer,38.19
Cuba,Both,70 to 79,Cardiovascular diseases,39.16
Cuba,Female,All ages,Cardiovascular diseases,39.64
Cuba,Male,80 to 89,Cardiovascular diseases,40.24
Cuba,Female,70 to 79,Cardiovascular diseases,40.63
Cuba,Male,90+,Cardiovascular diseases,41.75
Cuba,Both,80 to 89,Cardiovascular diseases,43.1
Cuba,Female,50 to 59,Cancer,45.03
Cuba,Female,40 to 49,Cancer,45.06
Cuba,Both,90+,Cardiovascular diseases,45.17
Cuba,Female,80 to 89,Cardiovascular diseases,45.99
Cuba,Female,90+,Cardiovascular diseases,47.77
Cyprus,Both,30 to 39,Transport injuries,27.2
Cyprus,Male,30 to 39,Transport injuries,31.46
Cyprus,Both,70 to 79,Cardiovascular diseases,33.64
Cyprus,Female,70 to 79,Cardiovascular diseases,33.71
Cyprus,Male,All ages,Cardiovascular diseases,34.13
Cyprus,Male,70 to 79,Cancer,34.52
Cyprus,Both,40 to 49,Cancer,35.42
Cyprus,Both,All ages,Cardiovascular diseases,35.78
Cyprus,Male,40 to 49,Cardiovascular diseases,36.76
Cyprus,Male,80 to 89,Cardiovascular diseases,37.41
Cyprus,Female,All ages,Cardiovascular diseases,37.67
Cyprus,Male,50 to 59,Cardiovascular diseases,38.81
Cyprus,Male,90+,Cardiovascular diseases,40.83
Cyprus,Both,80 to 89,Cardiovascular diseases,40.96
Cyprus,Male,60 to 69,Cancer,40.97
Cyprus,Both,50 to 59,Cancer,43.25
Cyprus,Both,60 to 69,Cancer,44.17
Cyprus,Female,80 to 89,Cardiovascular diseases,44.26
Cyprus,Both,90+,Cardiovascular diseases,46.64
Cyprus,Female,90+,Cardiovascular diseases,49.28
Cyprus,Female,20 to 29,Transport injuries,50
Cyprus,Both,20 to 29,Transport injuries,51.16
Cyprus,Female,60 to 69,Cancer,51.26
Cyprus,Male,20 to 29,Transport injuries,54.16
Cyprus,Both,0 to 9,Maternal and neonatal disorders,55.81
Cyprus,Female,30 to 39,Cancer,59.09
Cyprus,Female,50 to 59,Cancer,61.04
Cyprus,Female,0 to 9,Maternal and neonatal disorders,62.5
Cyprus,Female,40 to 49,Cancer,62.5
Cyprus,Male,0 to 9,Maternal and neonatal disorders,65
Cyprus,Both,10 to 19,Transport injuries,72.22
Cyprus,Male,10 to 19,Transport injuries,73.33
Cyprus,Female,10 to 19,Transport injuries,100
Czechia,Male,30 to 39,Suicide,22.28
Czechia,Both,30 to 39,Cancer,22.95
Czechia,Male,40 to 49,Cancer,24.81
Czechia,Both,20 to 29,Suicide,25.77
Czechia,Female,10 to 19,Cancer,26.53
Czechia,Both,10 to 19,Transport injuries,26.66
Czechia,Female,20 to 29,Cancer,27.88
Czechia,Male,20 to 29,Suicide,29.29
Czechia,Male,10 to 19,Transport injuries,29.8
Czechia,Both,40 to 49,Cancer,32.57
Czechia,Male,50 to 59,Cancer,35.64
Czechia,Male,60 to 69,Cancer,40.43
Czechia,Male,70 to 79,Cardiovascular diseases,40.74
Czechia,Both,50 to 59,Cancer,41.06
Czechia,Both,70 to 79,Cardiovascular diseases,41.14
Czechia,Both,0 to 9,Maternal and neonatal disorders,41.15
Czechia,Male,All ages,Cardiovascular diseases,41.24
Czechia,Female,70 to 79,Cardiovascular diseases,41.72
Czechia,Male,0 to 9,Maternal and neonatal disorders,42.93
Czechia,Female,0 to 9,Maternal and neonatal disorders,43.22
Czechia,Female,30 to 39,Cancer,43.33
Czechia,Both,60 to 69,Cancer,43.45
Czechia,Both,All ages,Cardiovascular diseases,45.07
Czechia,Female,All ages,Cardiovascular diseases,49.02
Czechia,Female,60 to 69,Cancer,49.45
Czechia,Female,40 to 49,Cancer,50.3
Czechia,Male,80 to 89,Cardiovascular diseases,51.62
Czechia,Female,50 to 59,Cancer,53.37
Czechia,Both,80 to 89,Cardiovascular diseases,54.87
Czechia,Female,80 to 89,Cardiovascular diseases,57.19
Czechia,Male,90+,Cardiovascular diseases,59.51
Czechia,Both,90+,Cardiovascular diseases,63.87
Czechia,Female,90+,Cardiovascular diseases,65.71
Democratic People's Republic of Korea,Female,20 to 29,Transport injuries,17.22
Democratic People's Republic of Korea,Female,10 to 19,Transport injuries,19.78
Democratic People's Republic of Korea,Both,30 to 39,Transport injuries,21.08
Democratic People's Republic of Korea,Male,30 to 39,Transport injuries,24.96
Democratic People's Republic of Korea,Both,10 to 19,Transport injuries,26.16
Democratic People's Republic of Korea,Female,30 to 39,Cancer,26.46
Democratic People's Republic of Korea,Male,10 to 19,Transport injuries,29.22
Democratic People's Republic of Korea,Both,20 to 29,Transport injuries,30.99
Democratic People's Republic of Korea,Male,40 to 49,Cardiovascular diseases,31.59
Democratic People's Republic of Korea,Both,40 to 49,Cardiovascular diseases,31.73
Democratic People's Republic of Korea,Female,40 to 49,Cancer,32.45
Democratic People's Republic of Korea,Male,20 to 29,Transport injuries,36.12
Democratic People's Republic of Korea,Both,0 to 9,Maternal and neonatal disorders,38.42
Democratic People's Republic of Korea,Female,0 to 9,Maternal and neonatal disorders,38.58
Democratic People's Republic of Korea,Male,0 to 9,Maternal and neonatal disorders,38.6
Democratic People's Republic of Korea,Male,50 to 59,Cardiovascular diseases,39.03
Democratic People's Republic of Korea,Both,50 to 59,Cardiovascular diseases,39.4
Democratic People's Republic of Korea,Male,All ages,Cardiovascular diseases,39.56
Democratic People's Republic of Korea,Female,50 to 59,Cardiovascular diseases,40.12
Democratic People's Republic of Korea,Both,All ages,Cardiovascular diseases,43.27
Democratic People's Republic of Korea,Male,60 to 69,Cardiovascular diseases,43.66
Democratic People's Republic of Korea,Both,60 to 69,Cardiovascular diseases,44.92
Democratic People's Republic of Korea,Male,70 to 79,Cardiovascular diseases,46.47
Democratic People's Republic of Korea,Female,60 to 69,Cardiovascular diseases,46.8
Democratic People's Republic of Korea,Female,All ages,Cardiovascular diseases,46.85
Democratic People's Republic of Korea,Male,80 to 89,Cardiovascular diseases,48.01
Democratic People's Republic of Korea,Male,90+,Cardiovascular diseases,48.41
Democratic People's Republic of Korea,Both,70 to 79,Cardiovascular diseases,49.01
Democratic People's Republic of Korea,Female,70 to 79,Cardiovascular diseases,51.18
Democratic People's Republic of Korea,Both,80 to 89,Cardiovascular diseases,51.2
Democratic People's Republic of Korea,Both,90+,Cardiovascular diseases,51.25
Democratic People's Republic of Korea,Female,90+,Cardiovascular diseases,51.91
Democratic People's Republic of Korea,Female,80 to 89,Cardiovascular diseases,52.52
Democratic Republic of the Congo,Both,All ages,Respiratory infections and tuberculosis,16.14
Democratic Republic of the Congo,Female,40 to 49,Respiratory infections and tuberculosis,16.16
Democratic Republic of the Congo,Male,All ages,Respiratory infections and tuberculosis,16.46
Democratic Republic of the Congo,Female,10 to 19,Transport injuries,17.33
Democratic Republic of the Congo,Female,All ages,Cardiovascular diseases,19.2
Democratic Republic of the Congo,Both,40 to 49,Respiratory infections and tuberculosis,19.96
Democratic Republic of the Congo,Both,30 to 39,Respiratory infections and tuberculosis,20.82
Democratic Republic of the Congo,Female,30 to 39,Maternal and neonatal disorders,21.32
Democratic Republic of the Congo,Male,50 to 59,Cardiovascular diseases,21.33
Democratic Republic of the Congo,Both,10 to 19,Transport injuries,22.5
Democratic Republic of the Congo,Male,40 to 49,Respiratory infections and tuberculosis,22.65
Democratic Republic of the Congo,Both,50 to 59,Cardiovascular diseases,22.7
Democratic Republic of the Congo,Both,20 to 29,Transport injuries,22.77
Democratic Republic of the Congo,Male,30 to 39,Respiratory infections and tuberculosis,23.4
Democratic Republic of the Congo,Female,50 to 59,Cardiovascular diseases,24.68
Democratic Republic of the Congo,Female,20 to 29,Maternal and neonatal disorders,25.05
Democratic Republic of the Congo,Male,0 to 9,Maternal and neonatal disorders,25.21
Democratic Republic of the Congo,Both,0 to 9,Neglected tropical diseases and malaria,25.85
Democratic Republic of the Congo,Male,10 to 19,Transport injuries,26.05
Democratic Republic of the Congo,Male,90+,Cardiovascular diseases,26.57
Democratic Republic of the Congo,Male,60 to 69,Cardiovascular diseases,27.8
Democratic Republic of the Congo,Male,80 to 89,Cardiovascular diseases,28.5
Democratic Republic of the Congo,Female,0 to 9,Neglected tropical diseases and malaria,29.16
Democratic Republic of the Congo,Male,20 to 29,Transport injuries,29.42
Democratic Republic of the Congo,Male,70 to 79,Cardiovascular diseases,29.73
Democratic Republic of the Congo,Both,60 to 69,Cardiovascular diseases,30.89
Democratic Republic of the Congo,Both,90+,Cardiovascular diseases,33.23
Democratic Republic of the Congo,Female,60 to 69,Cardiovascular diseases,34.75
Democratic Republic of the Congo,Female,90+,Cardiovascular diseases,36.1
Democratic Republic of the Congo,Both,70 to 79,Cardiovascular diseases,36.95
Democratic Republic of the Congo,Both,80 to 89,Cardiovascular diseases,37.44
Democratic Republic of the Congo,Female,80 to 89,Cardiovascular diseases,42.85
Democratic Republic of the Congo,Female,70 to 79,Cardiovascular diseases,43.21
Denmark,Male,30 to 39,Substance use disorders,20.16
Denmark,Both,20 to 29,Suicide,21.2
Denmark,Male,20 to 29,Suicide,24
Denmark,Male,40 to 49,Cancer,26.79
Denmark,Both,30 to 39,Cancer,28
Denmark,Female,All ages,Cancer,31.71
Denmark,Male,80 to 89,Cardiovascular diseases,32.26
Denmark,Both,80 to 89,Cardiovascular diseases,32.58
Denmark,Female,80 to 89,Cardiovascular diseases,32.93
Denmark,Both,10 to 19,Transport injuries,33.33
Denmark,Female,20 to 29,Cancer,33.33
Denmark,Both,All ages,Cancer,33.39
Denmark,Male,All ages,Cancer,35.03
Denmark,Both,40 to 49,Cancer,36.66
Denmark,Male,90+,Cardiovascular diseases,36.86
Denmark,Female,10 to 19,Cancer,38.09
Denmark,Male,10 to 19,Transport injuries,38.09
Denmark,Male,50 to 59,Cancer,38.88
Denmark,Both,90+,Cardiovascular diseases,39.68
Denmark,Female,90+,Cardiovascular diseases,41.11
Denmark,Male,70 to 79,Cancer,43.13
Denmark,Both,70 to 79,Cancer,43.76
Denmark,Female,70 to 79,Cancer,44.74
Denmark,Both,50 to 59,Cancer,46.33
Denmark,Male,60 to 69,Cancer,47.21
Denmark,Female,30 to 39,Cancer,49.1
Denmark,Both,0 to 9,Maternal and neonatal disorders,49.54
Denmark,Male,0 to 9,Maternal and neonatal disorders,50.42
Denmark,Both,60 to 69,Cancer,51.18
Denmark,Female,0 to 9,Maternal and neonatal disorders,53.26
Denmark,Female,40 to 49,Cancer,54.72
Denmark,Female,60 to 69,Cancer,57.36
Denmark,Female,50 to 59,Cancer,58.45
Djibouti,Both,10 to 19,HIV/AIDS and sexually transmitted infections,15.7
Djibouti,Both,All ages,Cardiovascular diseases,16.38
Djibouti,Male,All ages,Cardiovascular diseases,16.47
Djibouti,Female,All ages,HIV/AIDS and sexually transmitted infections,17.46
Djibouti,Both,20 to 29,HIV/AIDS and sexually transmitted infections,18.4
Djibouti,Male,10 to 19,Transport injuries,18.8
Djibouti,Both,50 to 59,Cardiovascular diseases,20.67
Djibouti,Male,20 to 29,Transport injuries,21.35
Djibouti,Male,50 to 59,Cardiovascular diseases,21.37
Djibouti,Female,10 to 19,HIV/AIDS and sexually transmitted infections,22.8
Djibouti,Female,50 to 59,Cancer,23.12
Djibouti,Male,30 to 39,HIV/AIDS and sexually transmitted infections,24.15
Djibouti,Male,40 to 49,HIV/AIDS and sexually transmitted infections,26.87
Djibouti,Male,60 to 69,Cardiovascular diseases,29.86
Djibouti,Both,60 to 69,Cardiovascular diseases,29.92
Djibouti,Female,60 to 69,Cardiovascular diseases,31.1
Djibouti,Male,70 to 79,Cardiovascular diseases,32.47
Djibouti,Male,80 to 89,Cardiovascular diseases,34.07
Djibouti,Both,40 to 49,HIV/AIDS and sexually transmitted infections,34.51
Djibouti,Female,0 to 9,Maternal and neonatal disorders,34.6
Djibouti,Both,70 to 79,Cardiovascular diseases,35.54
Djibouti,Both,0 to 9,Maternal and neonatal disorders,36.13
Djibouti,Female,20 to 29,HIV/AIDS and sexually transmitted infections,38.12
Djibouti,Both,30 to 39,HIV/AIDS and sexually transmitted infections,38.36
Djibouti,Male,0 to 9,Maternal and neonatal disorders,38.38
Djibouti,Male,90+,Cardiovascular diseases,38.46
Djibouti,Both,80 to 89,Cardiovascular diseases,38.66
Djibouti,Female,70 to 79,Cardiovascular diseases,41.73
Djibouti,Both,90+,Cardiovascular diseases,42.1
Djibouti,Female,80 to 89,Cardiovascular diseases,44.34
Djibouti,Female,40 to 49,HIV/AIDS and sexually transmitted infections,45.17
Djibouti,Female,90+,Cardiovascular diseases,48.83
Djibouti,Female,30 to 39,HIV/AIDS and sexually transmitted infections,53.27
Dominica,Male,All ages,Cancer,29.23
Dominica,Both,All ages,Cardiovascular diseases,33.28
Dominica,Both,60 to 69,Cardiovascular diseases,36.27
Dominica,Male,80 to 89,Cancer,36.9
Dominica,Female,60 to 69,Cancer,37.14
Dominica,Both,50 to 59,Cancer,37.73
Dominica,Male,50 to 59,Cancer,38.23
Dominica,Male,70 to 79,Cancer,38.27
Dominica,Both,70 to 79,Cardiovascular diseases,38.96
Dominica,Male,60 to 69,Cancer,38.98
Dominica,Female,All ages,Cardiovascular diseases,39.31
Dominica,Both,40 to 49,Cancer,41.17
Dominica,Both,80 to 89,Cardiovascular diseases,41.45
Dominica,Male,40 to 49,Cancer,42.85
Dominica,Male,90+,Cardiovascular diseases,43.75
Dominica,Female,50 to 59,Cancer,46.66
Dominica,Female,70 to 79,Cardiovascular diseases,46.77
Dominica,Both,90+,Cardiovascular diseases,49.2
Dominica,Both,20 to 29,Interpersonal violence,50
Dominica,Both,30 to 39,Cancer,50
Dominica,Female,80 to 89,Cardiovascular diseases,51.04
Dominica,Female,90+,Cardiovascular diseases,57.5
Dominica,Female,40 to 49,Cancer,66.66
Dominica,Both,0 to 9,Maternal and neonatal disorders,73.33
Dominica,Female,0 to 9,Maternal and neonatal disorders,80
Dominica,Male,0 to 9,Maternal and neonatal disorders,85.71
Dominica,Female,30 to 39,Cancer,100
Dominica,Male,20 to 29,Interpersonal violence,100
Dominican Republic,Female,10 to 19,Cancer,11.62
Dominican Republic,Female,20 to 29,Cardiovascular diseases,14.08
Dominican Republic,Both,30 to 39,Cardiovascular diseases,16.86
Dominican Republic,Both,10 to 19,Transport injuries,19.04
Dominican Republic,Male,30 to 39,Transport injuries,19.5
Dominican Republic,Female,30 to 39,Cardiovascular diseases,21.24
Dominican Republic,Both,20 to 29,Interpersonal violence,21.95
Dominican Republic,Male,10 to 19,Transport injuries,23.16
Dominican Republic,Male,20 to 29,Interpersonal violence,26.92
Dominican Republic,Male,40 to 49,Cardiovascular diseases,29.32
Dominican Republic,Both,40 to 49,Cardiovascular diseases,29.7
Dominican Republic,Female,40 to 49,Cardiovascular diseases,30.68
Dominican Republic,Male,All ages,Cardiovascular diseases,36.37
Dominican Republic,Female,50 to 59,Cardiovascular diseases,37.59
Dominican Republic,Both,All ages,Cardiovascular diseases,38.47
Dominican Republic,Both,50 to 59,Cardiovascular diseases,39.42
Dominican Republic,Male,50 to 59,Cardiovascular diseases,40.56
Dominican Republic,Female,All ages,Cardiovascular diseases,41.44
Dominican Republic,Female,60 to 69,Cardiovascular diseases,44.83
Dominican Republic,Both,60 to 69,Cardiovascular diseases,45.68
Dominican Republic,Male,60 to 69,Cardiovascular diseases,46.26
Dominican Republic,Male,80 to 89,Cardiovascular diseases,48.35
Dominican Republic,Male,70 to 79,Cardiovascular diseases,48.6
Dominican Republic,Both,70 to 79,Cardiovascular diseases,49.85
Dominican Republic,Both,80 to 89,Cardiovascular diseases,51.37
Dominican Republic,Female,70 to 79,Cardiovascular diseases,51.77
Dominican Republic,Female,0 to 9,Maternal and neonatal disorders,52.77
Dominican Republic,Both,0 to 9,Maternal and neonatal disorders,53.2
Dominican Republic,Male,90+,Cardiovascular diseases,53.65
Dominican Republic,Male,0 to 9,Maternal and neonatal disorders,53.85
Dominican Republic,Female,80 to 89,Cardiovascular diseases,54.27
Dominican Republic,Both,90+,Cardiovascular diseases,54.66
Dominican Republic,Female,90+,Cardiovascular diseases,55.69
Ecuador,Female,20 to 29,Cancer,14.7
Ecuador,Female,10 to 19,Suicide,16.12
Ecuador,Male,40 to 49,Cardiovascular diseases,17.09
Ecuador,Both,30 to 39,Transport injuries,18.61
Ecuador,Both,10 to 19,Transport injuries,20.8
Ecuador,Both,40 to 49,Cancer,22.15
Ecuador,Male,All ages,Cardiovascular diseases,22.26
Ecuador,Male,30 to 39,Transport injuries,22.91
Ecuador,Male,50 to 59,Cardiovascular diseases,23.18
Ecuador,Both,All ages,Cardiovascular diseases,23.19
Ecuador,Female,All ages,Cardiovascular diseases,24.36
Ecuador,Male,10 to 19,Transport injuries,25.13
Ecuador,Both,50 to 59,Cancer,25.37
Ecuador,Male,60 to 69,Cardiovascular diseases,25.91
Ecuador,Female,70 to 79,Cardiovascular diseases,26.29
Ecuador,Both,20 to 29,Transport injuries,26.31
Ecuador,Both,60 to 69,Cancer,26.59
Ecuador,Both,70 to 79,Cardiovascular diseases,26.89
Ecuador,Male,70 to 79,Cardiovascular diseases,27.43
Ecuador,Female,30 to 39,Cancer,27.66
Ecuador,Male,80 to 89,Cardiovascular diseases,30.12
Ecuador,Male,20 to 29,Transport injuries,30.53
Ecuador,Both,80 to 89,Cardiovascular diseases,30.99
Ecuador,Female,60 to 69,Cancer,31.53
Ecuador,Female,80 to 89,Cardiovascular diseases,31.88
Ecuador,Male,90+,Cardiovascular diseases,34.68
Ecuador,Female,0 to 9,Maternal and neonatal disorders,35.15
Ecuador,Both,90+,Cardiovascular diseases,36.08
Ecuador,Female,50 to 59,Cancer,36.15
Ecuador,Both,0 to 9,Maternal and neonatal disorders,36.78
Ecuador,Female,90+,Cardiovascular diseases,37.22
Ecuador,Female,40 to 49,Cancer,37.6
Ecuador,Male,0 to 9,Maternal and neonatal disorders,38.37
Egypt,Male,0 to 9,Enteric infections,19.1
Egypt,Both,0 to 9,Enteric infections,21.54
Egypt,Female,0 to 9,Enteric infections,24.55
Egypt,Both,10 to 19,Transport injuries,27.26
Egypt,Female,10 to 19,Cardiovascular diseases,27.39
Egypt,Both,20 to 29,Cardiovascular diseases,28.1
Egypt,Female,20 to 29,Cardiovascular diseases,30.22
Egypt,Male,10 to 19,Transport injuries,32.26
Egypt,Male,30 to 39,Cardiovascular diseases,32.49
Egypt,Male,20 to 29,Transport injuries,33.07
Egypt,Both,30 to 39,Cardiovascular diseases,33.12
Egypt,Female,30 to 39,Cardiovascular diseases,34.32
Egypt,Male,40 to 49,Cardiovascular diseases,39.8
Egypt,Both,40 to 49,Cardiovascular diseases,39.97
Egypt,Female,40 to 49,Cardiovascular diseases,40.35
Egypt,Male,All ages,Cardiovascular diseases,45.59
Egypt,Male,50 to 59,Cardiovascular diseases,45.83
Egypt,Both,50 to 59,Cardiovascular diseases,45.92
Egypt,Female,50 to 59,Cardiovascular diseases,46.13
Egypt,Both,All ages,Cardiovascular diseases,46.99
Egypt,Female,All ages,Cardiovascular diseases,48.92
Egypt,Male,60 to 69,Cardiovascular diseases,50.38
Egypt,Both,60 to 69,Cardiovascular diseases,51.63
Egypt,Male,70 to 79,Cardiovascular diseases,53.24
Egypt,Female,60 to 69,Cardiovascular diseases,53.33
Egypt,Male,90+,Cardiovascular diseases,53.94
Egypt,Male,80 to 89,Cardiovascular diseases,54.56
Egypt,Both,70 to 79,Cardiovascular diseases,54.93
Egypt,Both,90+,Cardiovascular diseases,55.16
Egypt,Both,80 to 89,Cardiovascular diseases,56.66
Egypt,Female,70 to 79,Cardiovascular diseases,56.85
Egypt,Female,90+,Cardiovascular diseases,58.66
Egypt,Female,80 to 89,Cardiovascular diseases,59.01
El Salvador,Both,40 to 49,Cancer,15.75
El Salvador,Male,40 to 49,Interpersonal violence,19.16
El Salvador,Male,All ages,Cardiovascular diseases,20.68
El Salvador,Female,20 to 29,Interpersonal violence,22.7
El Salvador,Male,50 to 59,Diabetes and kidney diseases,23.46
El Salvador,Female,10 to 19,Interpersonal violence,23.52
El Salvador,Both,50 to 59,Diabetes and kidney diseases,23.57
El Salvador,Both,All ages,Cardiovascular diseases,24.12
El Salvador,Both,60 to 69,Diabetes and kidney diseases,25.47
El Salvador,Female,30 to 39,Cancer,25.69
El Salvador,Male,60 to 69,Diabetes and kidney diseases,25.8
El Salvador,Female,60 to 69,Cancer,26.61
El Salvador,Male,70 to 79,Cardiovascular diseases,28.34
El Salvador,Female,All ages,Cardiovascular diseases,28.45
El Salvador,Both,70 to 79,Cardiovascular diseases,29.13
El Salvador,Female,70 to 79,Cardiovascular diseases,30.13
El Salvador,Both,30 to 39,Interpersonal violence,31.52
El Salvador,Female,50 to 59,Cancer,32.26
El Salvador,Male,80 to 89,Cardiovascular diseases,33.18
El Salvador,Female,40 to 49,Cancer,34.16
El Salvador,Both,80 to 89,Cardiovascular diseases,34.99
