Id,Context,Video,Time
107,"During puberty, there is an increased connection between the prefrontal cortex (which is involved in motivation, decision-making, and allows us to suppress action in order to achieve longer-term goals), dopamine centres, and the amygdala. So a lot of activity in centres related to decisions, emotions, and rewards. This is a period of testing behaviours and their outcomes, with a much increased agency and ability.",podcast_13,01.04.20
108,"Intervention strategies to promote healthy adolescence and puberty (as published on Nature in 2018, ""Importance of investing in adolescence from a developmental science perspective""): a) learn to mitigate the risk of famine and malnutrition (could i feed/support myself?), b) later start time in schools to match their changing circadian rhythms, c) better sleep interventions where needed to prevent and battle mental health issues, d) levering social connections for positive behaviour reinforcement, e) encourage as many forms of safe interactions as possible to aid the adolescent's autonomy (expand the buffet of experiences from whatever the caretakers bring to the table). These can be used as guidelines for parents, but also for other adults to remember what we went through and to evaluate whether we were allowed to go through all these.",podcast_13,01.03.18
109,"A healthy emotional development clearly starts with the baby and caretaker spending peaceful time together, with a lot of gaze, vocalisation, affect and touch building a bond through oxytocin and serotonin. But also through the ability to get excited together through dopamine. This back and forth between the dopaminergic and serotoninergic states is key to all relationships later on as well. This comes from the work of Allan Schore.",podcast_13,01.11.21
110,"The left brain is language dominant, and a bit better at math (at least for right-handed people). The right brain is good at spatial information. The right brain is a bit primitive linguistically but good at understanding the lilting of language, the ups and downs when speaking.",podcast_13,01.14.15
111,"Oxytocin is released in response to lactation, following sex, and by non-sexual touch, and is particularly involved in pair bonding. It has a calming effect but also raises alertness to the emotional state of others. It increases the synchronicity of emotions. In this way, oxytocin helps us predict the behaviour of others and guide our own actions.",podcast_13,01.18.30
112,"Mirror neurons, are neurons that fire during an action (let's say lifting a pen) but also fire when we witness that action (someone else lifting a pen). They have been observed in animals and humans, but they are a very controversial topic. Some scientists are not convinced they exist, while Huberman believes they exist, but that they are not directly involved with the emotion and empathy systems. We do know, however, that there are neurons involved in trying to predict the behaviour of others, so we should focus on them and look into molecules like Oxytocin.",podcast_13,01.20.11
113,"In studies, taking oxytocin has been shown to increase positive communication among couples during a fight (Biological Psychiatry, 2009). Men report more intimacy and connection after sex. Autistic children established better social connections. Men in monogamous relationships would pay less visual attention to other attractive potential partners (Neuroscience).",podcast_13,01.23.12
114,"Vitamin-D is needed for the production of oxytocin, and supplementing with vitamin-D sometimes leads to increased oxytocin. Melatonin might have some effects in raising oxytocin as well. Of course, there are also people who supplement with oxytocin directly, but Huberman would advise against that.",podcast_13,01.26.59
115,"Vasopressin is a molecule that suppresses urination, boosts memory and promotes a feeling of giddy love. As such it has been used as an aphrodisiac, as a treatment for symptoms of excessive urination and as a bio-hack mental performance tool. It has also been shown that a type of rodent species would be either very monogamous or not monogamous at all, depending on the individual's levels of Vasopressin, with similar effects reported anecdotally in humans. As a side note, alcohol inhibits vasopressin which makes you want to urinate more. Huberman would not recommend supplementing with vasopressin because of the many and robust effects this molecule has on the body.",podcast_13,01.28.35
116,"Stimulation of the vagus nerve leads to increased alertness and dopamine release (David McCormick in Current Biology, 2021). In a psychiatric session where the patient's vagus nerve was stimulated it was demonstrated how through the stimulation, the patient went from feeling very depressed and unmotivated to appearing almost cheerful and recounting events with excitement (from the work of Karl Deisseroth as cited on a New Yorker article, 2015). This is just another example of how stimulating the vagus nerve leads to alertness and dopamine release. More interestingly, it is an example of how the axis of alertness is so important to emotion.",podcast_13,01.30.40
