country,income_level,year,population,migrants_destination,migrants_destination_per,refugees_destination,refugees_destination_per,migrants_origin,migrants_origin_per
China,Middle - upper,2015,"1,397,029,000",978046,0.070008998,301052,0.021549445,9675209,0.69255606
China,Middle - upper,2017,"1,409,517,000",999527,0.070912731,301658,0.021401516,9962058,0.706771043
"China, Hong Kong SAR",High,1990,"5,781,000",2218473,38.3752465,10092,0.174571873,551080,9.532606815
"China, Hong Kong SAR",High,1995,"6,140,000",2443798,39.80127036,5536,0.090162866,619848,10.0952443
"China, Hong Kong SAR",High,2000,"6,664,000",2669122,40.05285114,979,0.014690876,688745,10.33530912
"China, Hong Kong SAR",High,2005,"6,828,000",2721235,39.85405682,567,0.008304042,804649,11.78454892
"China, Hong Kong SAR",High,2010,"7,025,000",2779950,39.57224199,154,0.002192171,959608,13.65990036
"China, Hong Kong SAR",High,2015,"7,246,000",2838665,39.17561413,2448,0.033784157,1030902,14.22718741
"China, Hong Kong SAR",High,2017,"7,365,000",2883051,39.14529532,2455,0.033333333,1066633,14.48245757
"China, Macao SAR",High,1990,"344,000",205047,59.60668605,0,0,95648,27.80465116
"China, Macao SAR",High,1995,"386,000",224929,58.27176166,0,0,98093,25.4126943
"China, Macao SAR",High,2000,"428,000",240791,56.25957944,0,0,101667,23.75397196
"China, Macao SAR",High,2005,"483,000",279308,57.82774327,0,0,115397,23.89171843
"China, Macao SAR",High,2010,"537,000",318506,59.31210428,0,0,130803,24.35810056
"China, Macao SAR",High,2015,"601,000",342703,57.02212978,7,0.001164725,141162,23.48785358
"China, Macao SAR",High,2017,"623,000",353654,56.76629213,6,0.000963082,144341,23.16869984
Colombia,Middle - upper,1990,"34,272,000",104277,0.304262955,580,0.001692344,1009148,2.944526144
Colombia,Middle - upper,1995,"37,442,000",106943,0.285623097,408,0.001089685,1216186,3.248186528
Colombia,Middle - upper,2000,"40,404,000",109609,0.271282546,235,0.000581626,1434868,3.551301851
Colombia,Middle - upper,2005,"43,286,000",107612,0.24860694,224,0.000517488,1880422,4.344180566
Colombia,Middle - upper,2010,"45,918,000",124271,0.270636787,212,0.000461693,2518915,5.485680997
Colombia,Middle - upper,2015,"48,229,000",139134,0.288486181,6899,0.014304671,2671696,5.539604802
Colombia,Middle - upper,2017,"49,066,000",142319,0.290056251,8390,0.017099417,2736230,5.576631476
Comoros,Low,1990,"412,000",14079,3.41723301,0,0,40076,9.727184466
Comoros,Low,1995,"475,000",13939,2.934526316,5,0.001052632,51284,10.79663158
Comoros,Low,2000,"542,000",13799,2.545940959,10,0.001845018,70493,13.00608856
Comoros,Low,2005,"612,000",13209,2.158333333,5,0.000816993,96141,15.70931373
Comoros,Low,2010,"690,000",12618,1.828695652,0,0,108558,15.73304348
Comoros,Low,2015,"777,000",12555,1.615830116,0,0,115633,14.88198198
Comoros,Low,2017,"814,000",12555,1.542383292,0,0,116574,14.32113022
Congo,Middle - lower,1990,"2,440,000",129597,5.311352459,3196,0.130983607,91302,3.741885246
Congo,Middle - lower,1995,"2,799,000",191635,6.84655234,19404,0.693247588,111094,3.969060379
Congo,Middle - lower,2000,"3,226,000",305002,9.45449473,123190,3.81866088,129315,4.008524489
Congo,Middle - lower,2005,"3,718,000",315238,8.478698225,66075,1.777165143,165547,4.452582033
Congo,Middle - lower,2010,"4,387,000",419649,9.565739685,133112,3.03423752,195519,4.4567814
Congo,Middle - lower,2015,"4,996,000",392996,7.86621297,52151,1.043855084,243502,4.873939151
Congo,Middle - lower,2017,"5,261,000",398890,7.582018628,54881,1.043166698,254824,4.843641893
Cook Islands,,1990,"18,000",2587,14.37222222,0,0,17488,97.15555556
Cook Islands,,1995,"19,000",2686,14.13684211,0,0,17012,89.53684211
Cook Islands,,2000,"18,000",2785,15.47222222,0,0,19501,108.3388889
Cook Islands,,2005,"20,000",3277,16.385,0,0,19573,97.865
Cook Islands,,2010,"19,000",3769,19.83684211,0,0,20567,108.2473684
Cook Islands,,2015,"17,000",4152,24.42352941,0,0,21505,126.5
Cook Islands,,2017,"17,000",4213,24.78235294,0,0,22249,130.8764706
Costa Rica,Middle - upper,1990,"3,096,000",417628,13.48927649,277505,8.963339793,69724,2.252067183
Costa Rica,Middle - upper,1995,"3,511,000",364287,10.375591,24226,0.690002848,85484,2.434747935
Costa Rica,Middle - upper,2000,"3,925,000",310946,7.922191083,6608,0.168356688,105797,2.695464968
Costa Rica,Middle - upper,2005,"4,248,000",358175,8.431614878,11253,0.26490113,118544,2.790583804
Costa Rica,Middle - upper,2010,"4,545,000",405404,8.919779978,19505,0.429152915,136721,3.008162816
Costa Rica,Middle - upper,2015,"4,808,000",411697,8.562749584,6899,0.143490017,138822,2.887312812
Costa Rica,Middle - upper,2017,"4,906,000",414214,8.443008561,8390,0.171015084,143465,2.924276396
Cote d'Ivoire,Middle - lower,1990,"12,268,000",1816426,14.80621128,136381,1.111680796,370866,3.02303554
Cote d'Ivoire,Middle - lower,1995,"14,541,000",2076394,14.27958187,297908,2.048744928,452575,3.112406299
Cote d'Ivoire,Middle - lower,2000,"16,687,000",1994135,11.95023072,120691,0.723263618,540996,3.242020735
Cote d'Ivoire,Middle - lower,2005,"18,336,000",2010824,10.96653578,41627,0.227023342,695065,3.79071226
Cote d'Ivoire,Middle - lower,2010,"20,401,000",2095185,10.27001127,26218,0.128513308,782050,3.83339052
Cote d'Ivoire,Middle - lower,2015,"23,108,000",2175399,9.414051411,2842,0.012298771,841241,3.64047516
Cote d'Ivoire,Middle - lower,2017,"24,295,000",2197152,9.043638609,2842,0.01169788,832581,3.426964396
Croatia,Middle - upper,1990,"4,776,000",475438,9.954731993,0,0,426201,8.923806533
Croatia,Middle - upper,1995,"4,617,000",674085,14.60006498,198647,4.302512454,705471,15.27985705
Croatia,Middle - upper,2000,"4,428,000",585298,13.21811201,22437,0.506707317,874432,19.74778681
Croatia,Middle - upper,2005,"4,378,000",579273,13.23145272,2927,0.066857012,834830,19.06875286
Croatia,Middle - upper,2010,"4,328,000",573248,13.24510166,863,0.019939926,861928,19.91515712
Croatia,Middle - upper,2015,"4,236,000",575738,13.59154863,14645,0.345727101,872057,20.58680359
Croatia,Middle - upper,2017,"4,189,000",560483,13.37987587,12554,0.299689663,916824,21.88646455
Cuba,Middle - upper,1990,"10,582,000",34555,0.326545077,3989,0.037696088,835546,7.895917596
Cuba,Middle - upper,1995,"10,906,000",26187,0.240115533,2475,0.02269393,935377,8.576719237
Cuba,Middle - upper,2000,"11,151,000",17818,0.15978836,961,0.008618061,1049902,9.415317012
Cuba,Middle - upper,2005,"11,284,000",17023,0.150859624,686,0.006079404,1160652,10.28582063
Cuba,Middle - upper,2010,"11,333,000",14818,0.130750904,411,0.003626577,1310867,11.56681373
Cuba,Middle - upper,2015,"11,461,000",13336,0.116359829,328,0.002861879,1511294,13.18640607
Cuba,Middle - upper,2017,"11,485,000",13136,0.114375272,355,0.003090988,1558312,13.56823683
Curacao,High,1990,"147,000",0,0,0,0,41878,28.48843537
Curacao,High,1995,"144,000",0,0,0,0,48701,33.82013889
Curacao,High,2000,"132,000",0,0,0,0,57182,43.31969697
Curacao,High,2005,"129,000",0,0,0,0,67407,52.25348837
Curacao,High,2010,"148,000",34627,23.39662162,6,0.004054054,68289,46.14121622
Curacao,High,2015,"158,000",37611,23.80443038,78,0.049367089,69897,44.23860759
Curacao,High,2017,"161,000",38396,23.8484472,90,0.055900621,9339,5.800621118
Cyprus,High,1990,"767,000",43805,5.711212516,17,0.002216428,174364,22.73324641
Cyprus,High,1995,"855,000",61941,7.244561404,57,0.006666667,163271,19.09602339
Cyprus,High,2000,"943,000",80076,8.491622481,97,0.01028632,153554,16.2835631
Cyprus,High,2005,"1,028,000",117165,11.39737354,701,0.068190661,153938,14.97451362
Cyprus,High,2010,"1,113,000",188472,16.93369272,3394,0.304941599,163040,14.64869721
Cyprus,High,2015,"1,161,000",192020,16.53919035,15327,1.320155039,155969,13.43402239
Cyprus,High,2017,"1,180,000",188973,16.01466102,16165,1.369915254,163734,13.87576271
Czechia,High,1990,"10,341,000",110394,1.067536989,0,0,277514,2.683628276
Czechia,High,1995,"10,358,000",165592,1.598687005,2655,0.025632361,333724,3.221896119
Czechia,High,2000,"10,290,000",220789,2.145665695,1209,0.011749271,401266,3.8995724
Czechia,High,2005,"10,258,000",322540,3.144277637,1829,0.017829986,608499,5.931945798
Czechia,High,2010,"10,536,000",398493,3.782203872,2449,0.023244115,796724,7.561921033
Czechia,High,2015,"10,604,000",416454,3.92732931,4303,0.040579027,856515,8.077282158
Czechia,High,2017,"10,618,000",433290,4.080711998,4529,0.042653984,962153,9.061527595
Dem. People's Republic of Korea,Low,1990,"20,293,000",34103,0.168053023,0,0,38574,0.190085251
Dem. People's Republic of Korea,Low,1995,"21,862,000",35143,0.160749245,0,0,52820,0.24160644
Dem. People's Republic of Korea,Low,2000,"22,929,000",36183,0.157804527,0,0,71321,0.311051507
Dem. People's Republic of Korea,Low,2005,"23,904,000",40097,0.167741801,0,0,86234,0.360751339
Dem. People's Republic of Korea,Low,2010,"24,592,000",44010,0.178960638,0,0,103496,0.42085231
Dem. People's Republic of Korea,Low,2015,"25,244,000",48458,0.191958485,0,0,107608,0.426271589
Dem. People's Republic of Korea,Low,2017,"25,491,000",48939,0.191985407,0,0,111055,0.435663568
Democratic Republic of the Congo,Low,1990,"34,615,000",754194,2.178806876,378562,1.093635707,401962,1.161236458
Democratic Republic of the Congo,Low,1995,"41,596,000",1816963,4.368119531,1433760,3.446869891,529132,1.272074238
Democratic Republic of the Congo,Low,2000,"47,076,000",744387,1.58124522,332509,0.706323817,831305,1.765878579
Democratic Republic of the Congo,Low,2005,"54,751,000",622869,1.137639495,204341,0.373218754,1079545,1.971735676
Democratic Republic of the Congo,Low,2010,"64,523,000",588950,0.912775289,166336,0.257793345,1226680,1.901151527
Democratic Republic of the Congo,Low,2015,"76,197,000",824492,1.082053099,398552,0.523054713,1535315,2.014928409
Democratic Republic of the Congo,Low,2017,"81,340,000",879223,1.080923285,453283,0.557269486,1661988,2.043260388
Denmark,High,1990,"5,141,000",235189,4.574771445,31827,0.619081891,202194,3.932970239
Denmark,High,1995,"5,233,000",303108,5.792241544,50924,0.973132047,208517,3.984655074
Denmark,High,2000,"5,341,000",371026,6.946751545,70021,1.311009174,218614,4.093128628
Denmark,High,2005,"5,422,000",440383,8.122150498,43972,0.810992254,225878,4.165953523
Denmark,High,2010,"5,555,000",509740,9.176237624,17922,0.322628263,237154,4.26919892
Denmark,High,2015,"5,689,000",595876,10.47417824,42260,0.742837054,250570,4.404464757
Denmark,High,2017,"5,734,000",656789,11.4542902,41640,0.726194629,262255,4.573683293
Djibouti,Middle - lower,1990,"590,000",122221,20.71542373,54508,9.238644068,5281,0.895084746
Djibouti,Middle - lower,1995,"630,000",99774,15.83714286,27310,4.334920635,6937,1.101111111
Djibouti,Middle - lower,2000,"718,000",100507,13.99818942,23257,3.23913649,9039,1.258913649
Djibouti,Middle - lower,2005,"783,000",92091,11.76130268,10456,1.335376756,12207,1.559003831
Djibouti,Middle - lower,2010,"851,000",101575,11.9359577,15104,1.774853114,13531,1.590011751
Djibouti,Middle - lower,2015,"927,000",112351,12.11984898,22006,2.373894283,15518,1.674002157
Djibouti,Middle - lower,2017,"957,000",116089,12.13051202,25744,2.690073145,15823,1.653396029
Dominica,Middle - upper,1990,"71,000",2519,3.547887324,0,0,42366,59.67042254
Dominica,Middle - upper,1995,"71,000",3121,4.395774648,0,0,45162,63.6084507
Dominica,Middle - upper,2000,"70,000",3723,5.318571429,0,0,48358,69.08285714
Dominica,Middle - upper,2005,"71,000",4744,6.681690141,0,0,64097,90.27746479
Dominica,Middle - upper,2010,"71,000",5765,8.11971831,0,0,73292,103.228169
Dominica,Middle - upper,2015,"73,000",6720,9.205479452,0,0,69765,95.56849315
Dominica,Middle - upper,2017,"74,000",6782,9.164864865,0,0,71483,96.59864865
Dominican Republic,Middle - upper,1990,"7,184,000",291151,4.052770045,2643,0.036790089,465022,6.473023385
Dominican Republic,Middle - upper,1995,"7,892,000",323381,4.097579828,985,0.012480993,674632,8.548302078
Dominican Republic,Middle - upper,2000,"8,563,000",355611,4.152878664,510,0.005955857,897711,10.48360388
Dominican Republic,Middle - upper,2005,"9,238,000",376001,4.070155878,584,0.006321715,1023893,11.0834921
Dominican Republic,Middle - upper,2010,"9,898,000",393720,3.977773288,599,0.006051728,1187731,11.99970701
Dominican Republic,Middle - upper,2015,"10,528,000",415564,3.947226444,1373,0.013041413,1402779,13.32426862
Dominican Republic,Middle - upper,2017,"10,767,000",424964,3.94691186,1341,0.012454723,1443030,13.40234048
Ecuador,,1990,"10,218,000",78663,0.769847328,634,0.006204737,213731,2.091710707
Ecuador,,1995,"11,441,000",115093,1.005969758,796,0.006957434,325586,2.845782711
Ecuador,,2000,"12,629,000",151523,1.199802043,958,0.007585715,445764,3.529685644
Ecuador,,2005,"13,735,000",187404,1.364426647,10063,0.07326538,988017,7.193425555
Ecuador,,2010,"14,935,000",325366,2.178547037,121249,0.81184466,1153899,7.72613994
Ecuador,,2015,"16,144,000",387513,2.400353072,133118,0.824566402,1105180,6.845763132
Ecuador,,2017,"16,625,000",399068,2.400409023,133118,0.800709774,1131427,6.80557594
Egypt,Middle - lower,1990,"57,412,000",173708,0.302563924,1866,0.003250192,1321128,2.301135651
Egypt,Middle - lower,1995,"63,714,000",166955,0.262038171,5407,0.008486361,1491202,2.340462065
Egypt,Middle - lower,2000,"69,906,000",173452,0.248121764,6697,0.009580007,1707426,2.442459875
Egypt,Middle - lower,2005,"76,778,000",274001,0.356874365,88946,0.11584829,1900048,2.47472974
Egypt,Middle - lower,2010,"84,108,000",295714,0.351588434,95056,0.113016598,2611995,3.105525039
Egypt,Middle - lower,2015,"93,778,000",565931,0.603479494,462961,0.493677622,3200613,3.41296786
Egypt,Middle - lower,2017,"97,553,000",478310,0.490307833,263407,0.270014249,3412957,3.498566933
El Salvador,Middle - lower,1990,"5,255,000",47360,0.901236917,20515,0.390390105,1241877,23.63229305
El Salvador,Middle - lower,1995,"5,611,000",39537,0.704633755,10279,0.183193727,933125,16.63027981
El Salvador,Middle - lower,2000,"5,868,000",31713,0.540439673,42,0.000715746,949091,16.17401159
El Salvador,Middle - lower,2005,"6,029,000",36019,0.597429093,40,0.00066346,1118900,18.55863327
El Salvador,Middle - lower,2010,"6,165,000",40324,0.654079481,38,0.000616383,1337703,21.6983455
El Salvador,Middle - lower,2015,"6,312,000",42045,0.666112167,35,0.000554499,1509676,23.91755387
El Salvador,Middle - lower,2017,"6,378,000",42323,0.663577924,35,0.000548761,1559924,24.45788648
Equatorial Guinea,Middle - upper,1990,"427,000",2740,0.641686183,0,0,34972,8.190163934
Equatorial Guinea,Middle - upper,1995,"505,000",3629,0.718613861,0,0,41617,8.240990099
Equatorial Guinea,Middle - upper,2000,"614,000",4517,0.735667752,0,0,55319,9.009609121
Equatorial Guinea,Middle - upper,2005,"757,000",6588,0.870277411,0,0,67673,8.939630119
Equatorial Guinea,Middle - upper,2010,"951,000",8658,0.910410095,0,0,78268,8.230073607
Equatorial Guinea,Middle - upper,2015,"1,175,000",209611,17.83923404,0,0,93098,7.923234043
Equatorial Guinea,Middle - upper,2017,"1,268,000",221865,17.49723975,0,0,95714,7.548422713
Eritrea,Low,1990,"3,113,000",11848,0.380597494,0,0,170617,5.480790235
Eritrea,Low,1995,"3,090,000",12400,0.401294498,1083,0.035048544,325272,10.52660194
Eritrea,Low,2000,"3,393,000",12952,0.381727085,1984,0.058473327,510432,15.04367816
Eritrea,Low,2005,"3,969,000",14314,0.360644999,4418,0.111312673,289183,7.286041824
Eritrea,Low,2010,"4,391,000",15676,0.357002961,4809,0.109519472,278086,6.333090412
Eritrea,Low,2015,"4,847,000",15941,0.328883846,2898,0.059789561,546158,11.26795956
Eritrea,Low,2017,"5,069,000",16041,0.316452949,2598,0.051252713,607917,11.99283882
Estonia,High,1990,"1,565,000",381997,24.40875399,0,0,113928,7.279744409
Estonia,High,1995,"1,433,000",315755,22.03454292,1,6.97837E-05,129661,9.048220516
Estonia,High,2000,"1,399,000",249512,17.83502502,2,0.000142959,141917,10.14417441
Estonia,High,2005,"1,356,000",233701,17.23458702,21,0.001548673,150507,11.09933628
Estonia,High,2010,"1,332,000",217890,16.35810811,39,0.002927928,161840,12.15015015
Estonia,High,2015,"1,315,000",194664,14.80334601,254,0.019315589,190954,14.52121673
Estonia,High,2017,"1,310,000",192962,14.72992366,285,0.021755725,199422,15.22305344
Ethiopia,Low,1990,"48,087,000",1155390,2.402707592,741965,1.542963795,1687517,3.509299811
Ethiopia,Low,1995,"57,310,000",806904,1.407963706,393479,0.686580003,820490,1.431669866
Ethiopia,Low,2000,"66,537,000",611384,0.918863189,197959,0.297517171,443926,0.667186678
Ethiopia,Low,2005,"76,727,000",514242,0.670222998,100817,0.131397031,521088,0.679145542
Ethiopia,Low,2010,"87,703,000",567720,0.647321072,154295,0.175928988,623562,0.710992782
Ethiopia,Low,2015,"99,873,000",1162576,1.164054349,739151,0.740090915,753241,0.754198833
Ethiopia,Low,2017,"104,957,000",1227143,1.169186429,793595,0.756114409,800879,0.763054394
Faeroe Islands,High,1990,"48,000",4285,8.927083333,0,0,7524,15.675
Faeroe Islands,High,1995,"46,000",2900,6.304347826,0,0,10013,21.7673913
Faeroe Islands,High,2000,"47,000",3593,7.644680851,0,0,12408,26.4
Faeroe Islands,High,2005,"48,000",4583,9.547916667,0,0,12530,26.10416667
Faeroe Islands,High,2010,"49,000",5096,10.4,0,0,12970,26.46938776
Faeroe Islands,High,2015,"49,000",5517,11.25918367,0,0,14692,29.98367347
Faeroe Islands,High,2017,"49,000",5735,11.70408163,0,0,16064,32.78367347
Falkland Islands (Malvinas),,1990,"2,000",855,42.75,0,0,260,13
Falkland Islands (Malvinas),,1995,"2,000",868,43.4,0,0,764,38.2
Falkland Islands (Malvinas),,2000,"3,000",1067,35.56666667,0,0,1274,42.46666667
Falkland Islands (Malvinas),,2005,"3,000",1166,38.86666667,0,0,1098,36.6
Falkland Islands (Malvinas),,2010,"3,000",1436,47.86666667,0,0,1025,34.16666667
Falkland Islands (Malvinas),,2015,"3,000",1571,52.36666667,0,0,911,30.36666667
Falkland Islands (Malvinas),,2017,"3,000",1579,52.63333333,0,0,954,31.8
Fiji,Middle - upper,1990,"729,000",13283,1.822085048,0,0,90156,12.36707819
Fiji,Middle - upper,1995,"775,000",13001,1.677548387,0,0,106498,13.74167742
Fiji,Middle - upper,2000,"811,000",12719,1.568310727,0,0,131914,16.26559803
Fiji,Middle - upper,2005,"822,000",12435,1.512773723,1,0.000121655,156682,19.06107056
Fiji,Middle - upper,2010,"860,000",13351,1.55244186,1,0.000116279,184310,21.43139535
Fiji,Middle - upper,2015,"892,000",13751,1.541591928,20,0.002242152,207305,23.24047085
Fiji,Middle - upper,2017,"906,000",13911,1.535430464,20,0.002207506,215120,23.74392936
Finland,High,1990,"4,996,000",63255,1.26611289,2174,0.043514812,250690,5.017814251
Finland,High,1995,"5,119,000",99729,1.948212542,7624,0.148935339,288820,5.642117601
Finland,High,2000,"5,188,000",136203,2.625346955,13073,0.251985351,316098,6.092868157
Finland,High,2005,"5,259,000",192169,3.654097737,10899,0.207244723,302910,5.759840274
Finland,High,2010,"5,366,000",248135,4.624207976,8724,0.162579202,294562,5.489414834
Finland,High,2015,"5,482,000",314856,5.743451295,37069,0.676194819,289031,5.272364101
Finland,High,2017,"5,523,000",343582,6.220930654,30133,0.545591164,294631,5.334618867
France,High,1990,"56,961,000",5897267,10.3531662,186629,0.327643475,1197097,2.101608118
France,High,1995,"58,242,000",6087993,10.45292572,155245,0.266551629,1329267,2.282316885
France,High,2000,"59,608,000",6278718,10.53334787,131115,0.219962086,1527333,2.562295329
France,High,2005,"61,234,000",6737600,11.00303753,137316,0.224247967,1694057,2.766530032
France,High,2010,"63,027,000",7196481,11.41809225,200687,0.31841433,1951895,3.096918781
France,High,2015,"64,457,000",7918382,12.28475107,336183,0.521561661,2123574,3.294559163
France,High,2017,"64,980,000",7902783,12.16186981,354880,0.546137273,2207213,3.396757464
French Guiana,,1990,"116,000",63612,54.83793103,6601,5.690517241,2848,2.455172414
French Guiana,,1995,"137,000",70131,51.19051095,3301,2.409489051,3227,2.355474453
French Guiana,,2000,"163,000",76649,47.02392638,0,0,3638,2.23190184
French Guiana,,2005,"204,000",86468,42.38627451,0,0,3871,1.89754902
French Guiana,,2010,"234,000",96288,41.14871795,0,0,4067,1.738034188
French Guiana,,2015,"269,000",106108,39.44535316,0,0,4362,1.621561338
French Guiana,,2017,"283,000",111718,39.47632509,0,0,4394,1.552650177
French Polynesia,High,1990,"198,000",25830,13.04545455,0,0,3149,1.59040404
French Polynesia,High,1995,"215,000",28360,13.19069767,0,0,3748,1.743255814
French Polynesia,High,2000,"237,000",30329,12.79704641,0,0,4335,1.829113924
French Polynesia,High,2005,"255,000",32286,12.66117647,0,0,2751,1.078823529
French Polynesia,High,2010,"268,000",31640,11.80597015,0,0,1200,0.447761194
French Polynesia,High,2015,"278,000",30058,10.81223022,0,0,1304,0.469064748
French Polynesia,High,2017,"283,000",30687,10.8434629,0,0,1345,0.475265018
Gabon,Middle - upper,1990,"952,000",127980,13.44327731,209,0.021953782,15208,1.597478992
Gabon,Middle - upper,1995,"1,086,000",152972,14.08581952,791,0.072836096,16472,1.516758748
Gabon,Middle - upper,2000,"1,231,000",195571,15.88716491,17982,1.460763607,17885,1.452883834
Gabon,Middle - upper,2005,"1,403,000",214123,15.26179615,8545,0.609052031,41038,2.925017819
Gabon,Middle - upper,2010,"1,640,000",243992,14.87756098,9015,0.549695122,59450,3.625
Gabon,Middle - upper,2015,"1,930,000",268384,13.90590674,2884,0.149430052,64922,3.363834197
Gabon,Middle - upper,2017,"2,025,000",280197,13.83688889,2893,0.142864198,66898,3.303604938
Gambia,Low,1990,"917,000",118123,12.88146129,39,0.004252999,36149,3.942093784
Gambia,Low,1995,"1,066,000",150890,14.15478424,6599,0.619043152,38256,3.588742964
Gambia,Low,2000,"1,232,000",182514,14.81444805,12016,0.975324675,39718,3.223863636
Gambia,Low,2005,"1,444,000",181905,12.59729917,7998,0.553878116,57473,3.980124654
Gambia,Low,2010,"1,692,000",185763,10.97890071,8378,0.495153664,79505,4.698877069
Gambia,Low,2015,"1,978,000",192540,9.734074823,7854,0.397067745,84396,4.266734075
Gambia,Low,2017,"2,101,000",205063,9.76025702,7890,0.375535459,87532,4.166206568
Georgia,Middle - lower,1990,"5,410,000",304470,5.627911275,0,0,920441,17.01369686
Georgia,Middle - lower,1995,"5,020,000",152235,3.032569721,3200,0.06374502,954270,19.00936255
Georgia,Middle - lower,2000,"4,722,000",76117,1.611965269,6400,0.13553579,968077,20.50141889
Georgia,Middle - lower,2005,"4,487,000",72311,1.611566748,3520,0.078448852,885995,19.74582126
Georgia,Middle - lower,2010,"4,232,000",73034,1.725756144,639,0.015099244,810934,19.16195652
Georgia,Middle - lower,2015,"3,952,000",76685,1.940409919,2712,0.068623482,833305,21.08565283
Georgia,Middle - lower,2017,"3,912,000",78218,1.999437628,2692,0.068813906,838082,21.42336401
Germany,High,1990,"79,118,000",5936181,7.502946232,722250,0.912876969,3277677,4.142770292
Germany,High,1995,"81,241,000",7464406,9.187978976,1267900,1.560665181,3280566,4.038066986
Germany,High,2000,"81,488,000",8992631,11.03552793,906000,1.111820145,3350817,4.112037355
Germany,High,2005,"81,671,000",9402447,11.51258954,700016,0.857116969,3585342,4.389981756
Germany,High,2010,"80,895,000",9812263,12.12962853,594269,0.734617714,3850095,4.759373262
Germany,High,2015,"81,708,000",10220418,12.50846674,736740,0.901674255,4032652,4.935443286
Germany,High,2017,"82,114,000",12165083,14.81487079,1256828,1.530589181,4208083,5.124683976
Ghana,Middle - lower,1990,"14,628,000",164851,1.126955154,4102,0.028042111,373303,2.551975663
Ghana,Middle - lower,1995,"16,760,000",252879,1.508824582,83200,0.496420048,429046,2.559940334
Ghana,Middle - lower,2000,"18,939,000",191601,1.011674323,12991,0.068593907,468279,2.472564549
Ghana,Middle - lower,2005,"21,542,000",304436,1.413220685,53537,0.248523814,616174,2.860337944
Ghana,Middle - lower,2010,"24,512,000",337017,1.374906168,13828,0.056413185,716044,2.921197781
Ghana,Middle - lower,2015,"27,583,000",399471,1.448250734,19265,0.069843744,826994,2.998201791
Ghana,Middle - lower,2017,"28,834,000",417642,1.448435874,18457,0.064011237,857603,2.974276895
Gibraltar,High,1990,"29,000",8709,30.03103448,0,0,11994,41.35862069
Gibraltar,High,1995,"30,000",8381,27.93666667,0,0,10135,33.78333333
Gibraltar,High,2000,"31,000",8054,25.98064516,0,0,8436,27.21290323
Gibraltar,High,2005,"32,000",9211,28.784375,0,0,9666,30.20625
Gibraltar,High,2010,"33,000",10369,31.42121212,0,0,11637,35.26363636
Gibraltar,High,2015,"34,000",11065,32.54411765,0,0,10446,30.72352941
Gibraltar,High,2017,"35,000",11152,31.86285714,0,0,10964,31.32571429
Greece,High,1990,"10,249,000",618139,6.031212801,7989,0.077949068,1041455,10.16152795
Greece,High,1995,"10,789,000",857850,7.951153953,4428,0.041041802,1017167,9.427815368
Greece,High,2000,"11,142,000",1111665,9.97724825,6468,0.058050619,989021,8.876512296
Greece,High,2005,"11,301,000",1190707,10.53629767,2390,0.021148571,874489,7.738155915
Greece,High,2010,"11,446,000",1321149,11.54245151,1444,0.012615761,797195,6.964834877
Greece,High,2015,"11,218,000",1242924,11.07972901,50979,0.454439294,862150,7.685416295
Greece,High,2017,"11,160,000",1220395,10.93543907,94630,0.847939068,933115,8.36124552
Greenland,High,1990,"56,000",9416,16.81428571,0,0,9510,16.98214286
Greenland,High,1995,"56,000",7320,13.07142857,0,0,11367,20.29821429
Greenland,High,2000,"56,000",6755,12.0625,0,0,13274,23.70357143
Greenland,High,2005,"57,000",6686,11.72982456,0,0,14765,25.90350877
Greenland,High,2010,"57,000",6226,10.92280702,0,0,16335,28.65789474
Greenland,High,2015,"56,000",6009,10.73035714,0,0,18279,32.64107143
Greenland,High,2017,"56,000",6014,10.73928571,0,0,20077,35.85178571
Grenada,Middle - upper,1990,"96,000",4263,4.440625,0,0,43250,45.05208333
Grenada,Middle - upper,1995,"100,000",5544,5.544,0,0,54094,54.094
Grenada,Middle - upper,2000,"102,000",6825,6.691176471,0,0,63866,62.61372549
Grenada,Middle - upper,2005,"103,000",6902,6.700970874,0,0,64758,62.87184466
Grenada,Middle - upper,2010,"105,000",6980,6.647619048,0,0,63336,60.32
Grenada,Middle - upper,2015,"107,000",7057,6.595327103,0,0,65122,60.86168224
Grenada,Middle - upper,2017,"108,000",7124,6.596296296,0,0,67183,62.20648148
Guadeloupe,,1990,"386,000",65944,17.08393782,0,0,5828,1.50984456
Guadeloupe,,1995,"403,000",74566,18.50272953,0,0,6880,1.70719603
Guadeloupe,,2000,"425,000",83188,19.57364706,0,0,7940,1.868235294
Guadeloupe,,2005,"440,000",89065,20.24204545,0,0,9108,2.07
Guadeloupe,,2010,"451,000",94942,21.05144124,0,0,10037,2.225498891
Guadeloupe,,2015,"450,000",98507,21.89044444,0,0,10432,2.318222222
Guadeloupe,,2017,"450,000",99350,22.07777778,0,0,10628,2.361777778
Guam,High,1990,"130,000",69755,53.65769231,0,0,1376,1.058461538
Guam,High,1995,"146,000",71912,49.25479452,0,0,1617,1.107534247
Guam,High,2000,"155,000",74070,47.78709677,0,0,2781,1.794193548
Guam,High,2005,"158,000",74743,47.3056962,0,0,2508,1.587341772
Guam,High,2010,"159,000",75416,47.43144654,0,0,2171,1.365408805
Guam,High,2015,"162,000",76089,46.96851852,0,0,2123,1.310493827
Guam,High,2017,"164,000",78027,47.57743902,0,0,2165,1.320121951
