key,description,type
TechVSconsume,"When thinking about the best way that humanity can meet these challenges, how much should we focus on developing new technologies compared to cutting back on consumption? (Choose your desired mix with the slider.) (1=Only develop new technologies, 100=Only cut back on consumption)",int
Income,"What was your combined household income in the previous year before taxes? (1 = under 15k, 2 = 15k-25k, 3 = 25k-35k, 4 = 35k-50k, 5 = 50k-75k, 6 = 75k-100k, 7 = 100k-150k, 8 = 150k-200k, 9 = over 200k, 10 = Prefer not to share)",int
Savings,"Approximately, what is the total amount of money that you have in all of your checking(s) and saving(s) account? (1 = 0-500, 2 = 500-5k, 3 = 5k-20k, 4 = 20k-45k, 5 = 45k-70k, 6 = 70k-100k, 7 = 100k-150k, 8 = 150k-200k, 9 = over 200k, 10 = Prefer not to share)",int
Assets,"Approximately, what is the total net worth of all of your assets combined (including your primary residence, other real estate, business, vehicles, stocks, trusts, etc)? (1 = 0-500, 2 = 500-5k, 3 = 5k-20k, 4 = 20k-45k, 5 = 45k-70k, 6 = 70k-100k, 7 = 100k-150k, 8 = 150k-200k, 9 = over 200k, 10 = Prefer not to share)",int
OptimisticOrdinal1,"Optimistic How optimistic do you feel about how things will be in: Two days from now? 1 = very optimistic, 7 = very pessimistic",int
OptimisticOrdinal2,"Optimistic How optimistic do you feel about how things will be in: Two weeks from now? 1 = very optimistic, 7 = very pessimistic",int
OptimisticOrdinal3,"Optimistic How optimistic do you feel about how things will be in: Two months from now? 1 = very optimistic, 7 = very pessimistic",int
OptimisticOrdinal4,"Optimistic How optimistic do you feel about how things will be in: One year from now? 1 = very optimistic, 7 = very pessimistic",int
OptimisticOrdinal5,"Optimistic How optimistic do you feel about how things will be in: Ten years from now? 1 = very optimistic, 7 = very pessimistic",int
OptimisticSlider1,"Optimistic How optimistic do you feel about how things will be in: Two days from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider2,"Optimistic How optimistic do you feel about how things will be in: Seven days from now?(0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider3,"Optimistic How optimistic do you feel about how things will be in: Four weeks from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider4,"Optimistic How optimistic do you feel about how things will be in: Six months from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider5,"Optimistic How optimistic do you feel about how things will be in: One year from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider6,"Optimistic How optimistic do you feel about how things will be in: Five years from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider7,"Optimistic How optimistic do you feel about how things will be in: Ten years from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider8,"Optimistic How optimistic do you feel about how things will be in: 100 years from now? (0 = very pessimistic, 100 = very optimistic)",int
OptimisticSlider9,"Optimistic How optimistic do you feel about how things will be in: 1000 years from now? (0 = very pessimistic, 100 = very optimistic)",int
Optimism7days,When you consider how optimistic/ pessimistic you are about 7 days from now what things come to mind?,string
Optimism6months,When you consider how optimistic/ pessimistic you are about 6 months from now what things come to mind?,string
Optimism10years,When you consider how optimistic/ pessimistic you are about 10 years from now what things come to mind?,string
MaskStigma1,"Wearing a face mask is cool (1=strongly disagree, 7=Strongly agree)",int
MaskStigma2,"Wearing a face mask is shameful (1=strongly disagree, 7=Strongly agree)",int
MaskStigma3,"Wearing a face mask is a sign of weakness (1=strongly disagree, 7=Strongly agree)",int
MaskStigma4,"The stigma attached to wearing a face mask is preventing me from wearing one as often as I should (1=strongly disagree, 7=Strongly agree)",int
MaskStereotype,"Do you think men or women are more likely to wear a mask in public? 1 = men much more likely, 7 = women much more likely",int
MaskLegal,"Is there a legal requirement to wear a face mask in your area? 1 = no, 2 = yes, 3 = don't know",int
MaskRespect,"In general, how often do you see people that you respect and trust wearing a mask (e.g., on tv, news, etc.)? 1 = never/rarely, 7 = very often",int
MaskEncouraged,"How much are mask-wearing rules encouraged in your area (e.g., by local or state government officials, businesses, etc.)? 1 = strongly discouraged, 7 = strongly encouraged",int
MaskMouthNose,"For preventing the spread of COVID19, how important is it to wear a mask covering both mouth and nose, compared to just covering the mouth? (1=not at all important; 7=very important)",int
NotCoverNose,"How often do you wear a mask around others in public indoors where your mouth is covered but your nose is exposed? (1=never, 4=half the time, 7=always)",int
FeelOthersNose,"When you see a person indoors wearing a mask with their nose uncovered, how does this make you feel about that person? (1=much more negatively; 4=no difference; 7=much more positively)",int
WrongMaskIntention,"When you see a person indoors wearing a mask with their nose uncovered, how likely do you think it is that they are intentionally wearing their mask like this? (1=Not at all; 7=Completely",int
WrongMaskComfort,"If a person intentionally wears a mask indoors with their nose uncovered, to what extent do you think they are doing so for reasons of personal comfort? (1=Not at all; 7=Completely",int
WrongMaskComply,"If a person intentionally wears a mask indoors with their nose uncovered, to what extent do you think they are doing so to 'comply' with a mask requirement that they personally disagree with? (1=Not at all; 7=Completely)",int
SourceInfo1,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Twitter,int
SourceInfo2,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply)- Facebook,int
SourceInfo3,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Communication with medical personnel,int
SourceInfo4,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Written news/online (please enter one example of a site/newspaper you read below),int
SourceInfo4TEXT,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Written news/online (please enter one example of a site/newspaper you read below),string
SourceInfo5,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - TV news (please enter one example of a channel you watch below),int
SourceInfo5TEXT,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - TV news (please enter one example of a channel you watch below),string
SourceInfo6,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Family,int
SourceInfo7,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Friends,int
SourceInfo8,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Neighbors/Community members,int
SourceInfo9,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Coworkers,int
SourceInfo10,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Workplace supervisor,int
SourceInfo11,"From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Local (city, state) government",int
SourceInfo12,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - The president,int
SourceInfo13,"From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply) - Health organizations (e.g., the CDC, WHO)",int
SourceInfo14,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply)- Other (please specify below),int
SourceInfo14TEXT,From which of the following sources of information do you regularly get information about COVID-19? (please choose all that apply)- Other (please specify below),string
Fundamental1,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Keeping myself physically safe from other people (1 = Not at all, 7 = Extremely important)",int
Fundamental2,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future- Avoiding people or places that might carry diseases (1 = Not at all, 7 = Extremely important)",int
Fundamental3,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Staying in contact with friends remotely (e.g., phone, video chat, texting, email) (1 = Not at all, 7 = Extremely important)",int
Fundamental4,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Spending time with friends outside your household/pod through in-person interactions (1 = Not at all, 7 = Extremely important)",int
Fundamental5,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Working in any way that brings in income, builds your career, or strengthens your abilities/skills (1 = Not at all, 7 = Extremely important)",int
Fundamental6,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Spending time trying to meet, or to stay in contact with new possible dating partners remotely (e.g., phone, video chat, texting) (1 = Not at all, 7 = Extremely important)",int
Fundamental7,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Spending time trying to meet, or to stay in contact with new possible dating partners through in-person interactions (1 = Not at all, 7 = Extremely important)",int
Fundamental8,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Spending quality time with my significant other (1 = Not at all, 7 = Extremely important)",int
Fundamental9,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Staying in contact with family members remotely (e.g., phone, video chat, texting, email) (1 = Not at all, 7 = Extremely important)",int
Fundamental10,"Please answer how important each of the following statements are to you at this point in your life, not how important these have been for you in the past or how important they may be in the future - Spending time with family members outside your household/pod through in-person interactions (1 = Not at all, 7 = Extremely important)",int
RiskManage1,"I save for the future so I can cover any unexpected costs that may come up (1=Strongly disagree, 7=Strongly agree)",int
RiskManage2,"I actively do my best at work to reduce the risk of being fired (1=Strongly disagree, 7=Strongly agree)",int
RiskManage3,"I have a backup plan in case my preferred/current career doesn't pan out (1=Strongly disagree, 7=Strongly agree)",int
RiskManage4,"I avoid things that are too risky (1=Strongly disagree, 7=Strongly agree)",int
RiskManage5,"I am unlikely to gamble (1=Strongly disagree, 7=Strongly agree)",int
RiskManage6,"I am unlikely to begin ventures that don't have secure outcomes (1=Strongly disagree, 7=Strongly agree)",int
RiskManage7,"When I buy an expensive commodity (e.g., computer/ phone/TV), I tend to buy an insurance plan for it (1=Strongly disagree, 7=Strongly agree)",int
RiskManage8,"I like having more than one credit card to ensure that I can buy necessities if something goes wrong (1=Strongly disagree, 7=Strongly agree)",int
RiskManage9,"I'm likely to ask parents/ friends/ someone for help if I'm in a tough situation (1=Strongly disagree, 7=Strongly agree)",int
RiskManage10,"In high stakes situations I prefer to solve problems with the help from others instead of alone to ensure a beneficial outcome (1=Strongly disagree, 7=Strongly agree)",int
RiskManage11,"When things go wrong, I prefer to solve problems on my own before I ask for help (1=Strongly disagree, 7=Strongly agree)",int
NewFood,"Imagine you want to order takeout, and a new restaurant is opening up nearby serving a cuisine you've never had before--would you want to try it out? (1=Not at all, 7=Definitely)",int
AloneTime,"About how much time do you currently spend by yourself each week? (1= 0-10%, 10=91-100%)",int
AloneTimeSatisfied,"Since the beginning of the pandemic, have you been satisfied with the amount of time you spend alone? (1=no, I would like less alone time; ? 3=Somewhat; ? 5=no, I would like more alone time)",int
SchoolChild,"Do you have any school-aged children who may be returning to in-person school in the next few weeks? (1=No, 2=Yes, 3=My Children have already returned to school)",int
SchoolConcern,"Given the current state of the pandemic where you live, how concerned are you at the prospect of your children physically returning to school? (1=Not at all, 7=Extremely)",int
SchoolMethod,"What is/will be your children's method of schooling?? 1 = in-person, 2 = online, 3 = mixed in-person and online, 4 = homeschool, 5 = other",int
PreferredMethod,"Is this your preferred method of schooling? 1 = no, 2 = yes",int
Schoolitems1,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I am comfortable with my children attending school in person as soon as possible (1=Strongly disagree, 7=Strongly agree)",int
Schoolitems2,"If there are children who are attending school in person in your household, please rate your agreement with the following statements  - I believe that the benefits granted for my children by attending school in-person outweigh the potential risks associated with COVID-19 (1=Strongly disagree, 7=Strongly agree)",int
Schoolitems3,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I have a choice/say in how my children attend school (1=Strongly disagree, 7=Strongly agree)",int
Schoolitems4,"If there are children who are attending school in person in your household, please rate your agreement with the following statements - I have obligations that prevent me from keeping my children at home (1=Strongly disagree, 7=Strongly agree)",int
JobChange,"Did you change your job or job status within the last 12 months (since September, 2020)? (1=No, 2=Yes)",int
HowManyJobChange,How many times did you switch jobs in the last 12 months? Numbers only.,int
MonthChangeJob,"When (what month) did you change to your current job? (1=October, 2020, 11=August, 2020)",int
Ocupation,What is your current occupation?,string
JobChangeStatus,"Would you consider this job to be of lower or higher status than your previous job/role? (1=Lower Status, 3=The same, 5=Higher status)",int
WorriedCovidBF1,"During the time you shopped indoors in a crowded store in the last 7 days - How worried were you about the possibility of becoming infected with COVID-19? (1=Not at all, 7=Extremely)",int
WorriedCovidBF2,"During the time you shopped indoors in a crowded store in the last 7 days - How worried were you about the possibility of infecting others with COVID-19? (1=Not at all, 7=Extremely)",int
ChangePlansBF3,"Did you change your plans to shop in a particular store in the last 7 days because of the heightened risk during crowded shopping times? 1 = no, 2 = yes",int
CelebrateTG,"Did you celebrate Thanksgiving? 1 = no, 2 = yes",int
PrecautionTG,"If you celebrated Thanksgiving with people outside of your household, did you take precautions before meeting in person (e.g., quarantining ahead of time, testing beforehand)? (1=Quarantining ahead of time , 2=Tested for COVID beforehand , 3=Both, 4=Other)",int
PrecautionTGTEXT,"If you celebrated Thanksgiving with people outside of your household, did you take precautions before meeting in person (e.g., quarantining ahead of time, testing beforehand)? Other:",string
HowManyTG,How many people did you celebrate Thanksgiving dinner with?,int
NotHouseHoldTG,How many people were not members of your household?,int
MaskTG,"If you celebrated Thanksgiving with people outside of your household, did you wear a face mask and/or stay 6 feet away from others (e.g., an outdoor socially distanced Thanksgiving) (1=Not at all, 5=Always)",int
COVIDpositiveTG,"If you celebrated Thanksgiving with people outside of your household, how likely do you think it is that at least one person there was COVID positive? (1=Not at all, 7=Extremely likely)",int
HowCelebrateTG,"In one sentence, how did you celebrate Thanksgiving?",string
MotivationTG,"In one sentence, what motivated you to celebrate Thanksgiving in this way?",string
WorriedCovidTG1,"If you celebrated Thanksgiving with people outside of your household - How worried were you about the possibility of becoming infected with COVID-19? (1=Not at all, 7=Extremely)",int
WorriedCovidTG2,"If you celebrated Thanksgiving with people outside of your household - How worried were you about the possibility that you could infect others with COVID-19?(1=Not at all, 7=Extremely)",int
CancelTG,"Did you decide to avoid celebrating Thanksgiving because of COVID-19 related concerns? 1 = no, 2 = yes, 3 = other reason",int
CancelTGTEXT,Did you decide to avoid celebrating Thanksgiving because of COVID-19 related concerns? other reason:,string
IOSTG,Please select the circle that best describes how close you feel with the people you spent (or would have spent) Thanksgiving with (4-10),int
PresentVfuture1,"Right now I can either focus on the present or focus on the future, but not both (1=Strongly disagree, 7=Strongly agree)",int
PresentVfuture2,"Right now when I make decisions, I think about the immediate present (1=Strongly disagree, 7=Strongly agree)",int
PresentVfuture3,"Right now when I make decisions, I think about the distant future (1=Strongly disagree, 7=Strongly agree)",int
PresentVfuture4,"Right now I can either prioritize my immediate well-being or my long-term well-being, but not both (1=Strongly disagree, 7=Strongly agree)",int
FutureImportant,"Right now for me the future is 1 = extremely unimportant, 7 = extremely important",int
PresentImportant,"Right now for me the present is 1 = extremely unimportant, 7 = extremely important",int
RiskBehavior1,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Drinking heavily at a social function. (1=Extremely unlikely, 7=Extremely likely)",int
RiskBehavior2,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Engaging in unprotected sex. (1=Extremely unlikely, 7=Extremely likely)",int
RiskBehavior3,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Driving a car without wearing a seat belt. (1=Extremely unlikely, 7=Extremely likely)",int
RiskBehavior4,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Riding a motorcycle without a helmet. (1=Extremely unlikely, 7=Extremely likely)",int
RiskBehavior5,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Sunbathing without sunscreen. (1=Extremely unlikely, 7=Extremely likely)",int
RiskBehavior6,"Please indicate the likelihood that you would engage in the described activity or behavior if you were to find yourself in that situation - Walking home alone at night in an unsafe area of town. (1=Extremely unlikely, 7=Extremely likely)",int
ReduceCovidRisk1,"To what extent have you tried to reduce the risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020? (1=Not at all, 7=A great deal)",int
ReduceCovidRisk2,"To what extent have the members of your household tried to reduce their risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020? (1=Not at all, 7=A great deal)",int
ReduceCovidRisk3,"To what extent have your friends tried to reduce their risk of becoming infected with COVID-19 by engaging in protective behaviors since March, 2020? (1=Not at all, 7=A great deal)",int
FriendsRisks1,"It bothers me when my friends put themselves at risk of COVID-19 infection (e.g., attending a crowded place indoors) (1=strongly disagree, 7= strongly agree)",int
FriendsRisks2,"My friends are bothered when I put myself at risk of COVID-19 infection (e.g., attending a crowded place indoors) (1=strongly disagree, 7= strongly agree)",int
FriendsRisks3,"I wish that my friends were more careful about minimizing their risk of COVID-19 infection (e.g., more hand washing, mask wearing, social distancing) (1=strongly disagree, 7= strongly agree)",int
FriendsRisks4,"My friends would like me to be more careful about minimizing my risk of COVID-19 infection (e.g., more hand washing, mask wearing, social distancing) (1=strongly disagree, 7= strongly agree)",int
FriendsRisks5,"I enjoy when my friends come to me for help, even if it may increase my risk of becoming infected with COVID-19 (1=strongly disagree, 7= strongly agree)",int
FriendsRisks6,"My friends don't mind when I come to them for help, even if it may increase their risk of becoming infected with COVID-19 (1=strongly disagree, 7= strongly agree)",int
FriendsRisks7,"Some of my friends are more/less careful about COVID-19 than others, and that is creating conflict within my circle of friends (1=strongly disagree, 7= strongly agree)",int
BothersHouseRisk,"It bothers me when members of my household put themselves at risk of COVID-19 infection (e.g., attending a crowded place indoors, not wearing a mask) (1=Strongly disagree, 7=Strongly agree)",int
WishHouseCareful,"I wish that members of my household were more careful about minimizing their risk of COVID-19 infection (1=Strongly disagree, 7=Strongly agree)",int
HouseConflict,"Some people in my household are more/less careful than others, and that is creating conflict within the members of my household (1=Strongly disagree, 7=Strongly agree)",int
EnjoyHelpFriends,"I enjoy when my friends come to me for help, even if it requires seeing each other in-person and indoors (1=Strongly disagree, 7=Strongly agree)",int
Big5.1,I am the life of the party (1=Strongly disagree; 5=Strongly agree),int
Big5.2,I talk to a lot of different people at parties. (1=Strongly disagree; 5=Strongly agree),int
Big5.3,I don't talk a lot. (1=Strongly disagree; 5=Strongly agree),int
Big5.4,I keep in the background. (1=Strongly disagree; 5=Strongly agree),int
Big5.5,I sympathize with others' feelings (1=Strongly disagree; 5=Strongly agree),int
Big5.6,I feel others' emotions. (1=Strongly disagree; 5=Strongly agree),int
Big5.7,I am not really interested in others. (1=Strongly disagree; 5=Strongly agree),int
Big5.8,I am not interested in other people's problems. (1=Strongly disagree; 5=Strongly agree),int
Big5.9,I get chores done right away.  (1=Strongly disagree; 5=Strongly agree),int
Big5.10,I like order. (1=Strongly disagree; 5=Strongly agree),int
Big5.11,I often forget to put things back in their proper place.  (1=Strongly disagree; 5=Strongly agree),int
Big5.12,I make a mess of things. (1=Strongly disagree; 5=Strongly agree),int
Big5.13,I have frequent mood swings.  (1=Strongly disagree; 5=Strongly agree),int
Big5.14,I get upset easily.  (1=Strongly disagree; 5=Strongly agree),int
Big5.15,I am relaxed most of the time. (1=Strongly disagree; 5=Strongly agree),int
Big5.16,I seldom feel blue.  (1=Strongly disagree; 5=Strongly agree),int
Big5.17,I have a vivid imagination. (1=Strongly disagree; 5=Strongly agree),int
Big5.18,I have difficulty understanding abstract ideas. (1=Strongly disagree; 5=Strongly agree),int
Big5.19,I am not interested in abstract ideas.  (1=Strongly disagree; 5=Strongly agree),int
Big5.20,I do not have a good imagination. (1=Strongly disagree; 5=Strongly agree),int
Reactance1,"When someone tells me what to do, I feel like doing precisely the opposite (1=Strongly disagree, 5=Strongly agree)",int
Reactance2,"Rules and regulations provoke some kind of resistance in me (1=Strongly disagree, 5=Strongly agree)",int
Reactance3,"When somebody tells me not to do something, I react by thinking that is exactly what I want to do (1=Strongly disagree, 5=Strongly agree)",int
Reactance4,"I react negatively when others try to tell me what to do (1=Strongly disagree, 5=Strongly agree)",int
Entitlement1,"I honestly feel I'm just more deserving than others (1=Strong disagreement, 7=Strong agreement)",int
Entitlement2,"Great things should come to me (1=Strong disagreement, 7=Strong agreement)",int
Entitlement3,"If I were on the Titanic, I would deserve to be on the first lifeboat! (1=Strong disagreement, 7=Strong agreement)",int
Entitlement4,"I demand the best because I'm worth it (1=Strong disagreement, 7=Strong agreement)",int
Entitlement5,"I do not necessarily deserve special treatment (1=Strong disagreement, 7=Strong agreement)",int
Entitlement6,"I deserve more things in my life (1=Strong disagreement, 7=Strong agreement)",int
Entitlement7,"People like me deserve an extra break now and then (1=Strong disagreement, 7=Strong agreement)",int
Entitlement8,"Things should go my way (1=Strong disagreement, 7=Strong agreement)",int
Entitlement9,"I feel entitled to more of everything (1=Strong disagreement, 7=Strong agreement)",int
HowMuchSleep,"How much have you been sleeping? 1 = less than usual, 3 = about the same, 5 = more than usual ",int
HourSleep,How many hours of actual sleep did you get at night? (This may be different than the number of hours you spend in bed). ,int
QualitySleep,"How would you rate the quality of your sleep? 1 = poor/unrefreshing, 3 = acceptable, 5 = excellent, restful/refreshing",int
HowFastYear,"How fast did this past year go by? 1 = very slowly, 5 = very quickly",int
SleepExperiences1,"Have you experienced any of the following more than usual? - Strange or vivid dreams (1=No, 2=Yes)",int
SleepExperiences2,"Have you experienced any of the following more than usual? - Nightmares or night terrors (1=No, 2=Yes)",int
SleepExperiences3,"Have you experienced any of the following more than usual? - Lack of dreams (1=No, 2=Yes)",int
SleepExperiences4,"Have you experienced any of the following more than usual? - Bouts of insomnia (1=No, 2=Yes)",int
SleepExperiences5,"Have you experienced any of the following more than usual? - Trouble falling asleep (1=No, 2=Yes)",int
SleepExperiences6,"Have you experienced any of the following more than usual? - Trouble staying asleep (1=No, 2=Yes)",int
SleepExperiences7,"Have you experienced any of the following more than usual? - Change in your sleep schedule (for e (1=No, 2=Yes)xample, going to bed later)",int
NewPandemic,"How likely is another pandemic that is as or more damaging (e.g. loss of life, economic impact) as COVID-19 in the next 100 years? (1=Extremely unlikely, 7=Extremely likely)",int
TimeTilNewPandemic,"How long will it be before another pandemic happens that is as or more damaging than COVID-19? 1 = wtihin 1 year, 2 = 5 years, 3 = 10 years, 4 = 50 years, 5 = 100 years, 6 = 200 years, 7 = 500 years, 8 = Longer",int
PandemicExtinction,"How likely is a future pandemic that could cause human extinction (everyone dying) or destroy human civilization in the next 100 years? (1=Extremely unlikely, 7=Extremely likely)",int
GovernmentPandemic,"How much can government action minimize the damage from future pandemics? (1=Very little, 7=Very much)",int
IndividualPandemic,"How much can individual action minimize the damage from future pandemics? (1=Very little, 7=Very much)",int
CausesExtinction1,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:   - Global thermonuclear war,int
CausesExtinction2,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Global warming/climate change/environment destruction,int
CausesExtinction3,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Naturally occurring pandemic,int
CausesExtinction4,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Bioweapons that cause a pandemic,int
CausesExtinction5,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Super intelligent AI,int
CausesExtinction6,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Asteroid hitting Earth,int
CausesExtinction8,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - How likely will human civilization still exist in 100 years?,int
CausesExtinction9,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - manually entered cause of extinction:,int
CausesExtinction9TEXT,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Enter any other danger that could cause extinction:,string
CausesExtinction10,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - manually entered cause of extinction:,int
CausesExtinction10TEXT,How likely are each of the following to cause human extinction in the next 100 years? Give the percent chance of extinction from each:  - Enter any other danger that could cause extinction:,string
GreenSettings,"Since March 11, when COVID-19 was declared a global pandemic, have you utilized green settings such as parks, gardens, forests, waterbodies, etc. to find peace, relax or de-stress? (1-Never; 2=Sometimes; 3=Often)",int
OutdoorRec,"To cope with the disruptions and increased demands of COVID-19, have you turned to outdoor recreation to take care of yourself and support your physical or mental health? (1-Never; 2=Sometimes; 3=Often)",int
DescriptiveLearning1,"Do mask-wearing rules encouraged in your area (e.g., by local or state government officials, businesses, etc.) tell you what everyone is doing?",int
DescriptiveLearning2,"Does how often you see people that you respect and trust wearing a mask (e.g., on tv, news, etc.) tell you what everyone is doing?",int
DescriptiveLearning3,"Does noticing the proportion of people in your area that wear a mask while doing recreational/social activities indoors (e.g., going to the gym, eating at a restaurant, attending a party) tell you what everyone is doing?",int
DescriptiveLearning4,"Does noticing the proportion of people in your area that wear a mask while doing routine activities indoors (e.g., running errands, shopping, going to work) tell you what everyone is doing?",int
InjunctiveLearning1,"Do mask-wearing rules encouraged in your area (e.g., by local or state government officials, businesses, etc.) tell you what everyone should be doing?",int
InjunctiveLearning2,"Does how often you see people that you respect and trust wearing a mask (e.g., on tv, news, etc.) tell you what everyone should be doing?",int
InjunctiveLearning3,"Does noticing the proportion of people in your area that wear a mask while doing recreational/social activities indoors (e.g., going to the gym, eating at a restaurant, attending a party) tell you what everyone should be doing?",int
InjunctiveLearning4,"Does noticing the proportion of people in your area that wear a mask while doing routine activities indoors (e.g., running errands, shopping, going to work) tell you what everyone should be doing?",int
QAnon1,"I think that the official version of the events given by the authorities very often hides the truth (1=Completely false, 9=Completely true)",int
QAnon2,"I think that at least one of the available COVID vaccines are part of the hidden agenda of a covert alliance of powerful individuals or organizations (1=Completely false, 9=Completely true)",int
QAnon3,"I think QAnon is a significant threat to American security (1=Completely false, 9=Completely true)",int
QAnonDescribe,"In a few sentences, how would you describe your thoughts and feelings about QAnon?",string
MaskToComply,"Mask mandates are being used to test the public's willingness to comply with future government orders rather than to stop the spread of COVID-19 (1=Definitely not true, 2=Probably not true, 3=Not sure/can't decide, 4=Probably true, 5=Definitely true)",int
Mortality1,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from COVID-19  infection (0= not a chance, 10= certain)",int
Mortality2,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from illness from air pollution (0= not a chance, 10= certain)",int
Mortality3,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from illness from polluted or contaminated water (0= not a chance, 10= certain)",int
Mortality4,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from injuries sustained by illegal violence (0= not a chance, 10= certain)",int
Mortality5,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from injuries incurred in a travel accident (e.g. a motor vehicle, train, or plane crash) (0= not a chance, 10= certain)",int
Mortality6,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from illness or injury caused by your occupation (e.g. injury resulting from heavy machinery or exposure to infection or hazardous chemicals) (0= not a chance, 10= certain)",int
Mortality7,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from natural disaster (such as a flood or forest fire) (0= not a chance, 10= certain)",int
Mortality8,"Please indicate your believed likelihood of dying from the following risk factors before the age of 79, provided you do everything you can to take care of your health and ensure your safety: Dying from infectious disease other than COVID-19 (0= not a chance, 10= certain)",int
Caregiving,"Do you have caregiving responsibilities? (i.e. children, relatives) (1=Yes, 2=No)",int
Vaccine4Care,"I feel I should get a COVID-19 vaccine because of my caregiving responsibilities (1=strongly disagree, 7=strongly agree)",int
VaccineChild,"How likely would you be to give your child/children a COVID vaccine when it is available to them? (1=not at all, 7=extremely likely, 8=N/A)",int
EffortLive,"If you made the maximum effort you could make to look after your health and ensure your safety, what do you think the chances would be that you would live to be 79 or more? (0 = No chance, 100 = Definitely)",int
LifeExpectancy,How old do you expect you will live to be (in years)?,int
