key,description,response,type
ShareExp,"In 1-2 sentences, is there anything else you would like to share about yourself or someone you know having or possibly having COVID19?",Free text,string
CouldInfect,"If I get sick with COVID-19, I could infect people who are more vulnerable than me (e.g., elderly people, hospital patients). ","1=Disagree completely, 7=Agree completely",int
Careful,"Considering the potential risk of COVID-19 infection, how careful are you when having in-person interactions?","1=Not at all, 7=Extremely",int
WashHands,How often do you wash or sanitize your hands?,"1=Less often than before the pandemic, 7=As soon as possible after I come in contact with a person or surface outside my household",int
Askingforhelp1,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for money,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp2,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for up to date information,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp3,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for food supplies,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp4,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for medical advice,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp5,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for medical care,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp6,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for help with childcare,"1=Not at all likely, 7=Extremely likely",int
Askingforhelp7,How likely are you to ask your friends and family for help in the following areas during the COVID19 pandemic? Asking for emotional or psychological support,"1=Not at all likely, 7=Extremely likely",int
Givinghelp1,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping by sending money,"1=Not at all likely, 7=Extremely likely",int
Givinghelp2,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping by giving up to date information,"1=Not at all likely, 7=Extremely likely",int
Givinghelp3,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping by giving food supplies,"1=Not at all likely, 7=Extremely likely",int
Givinghelp4,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping with medical advice,"1=Not at all likely, 7=Extremely likely",int
Givinghelp5,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping with medical care,"1=Not at all likely, 7=Extremely likely",int
Givinghelp6,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping with childcare,"1=Not at all likely, 7=Extremely likely",int
Givinghelp7,How likely are you to give help to your friends and family in the following areas during the COVID19 pandemic? Helping by giving emotional or psychological support,"1=Not at all likely, 7=Extremely likely",int
MaskAttitudes1,I wear a face mask when going out in public to keep myself from getting sick,"1=Strongly disagree, 7=Strongly agree",int
MaskAttitudes2,Seeing people in public wearing face masks makes me feel safe,"1=Strongly disagree, 7=Strongly agree",int
MaskAttitudes3,Seeing people in public wearing face masks makes me feel anxious,"1=Strongly disagree, 7=Strongly agree",int
MaskAttitudes4,Wearing a face mask when going out in public is the right thing to do,"1=Strongly disagree, 7=Strongly agree",int
MaskAttitudes5,I wear a face mask when going out in public to prevent others from getting sick in case I may be infected but dont know it yet,"1=Strongly disagree, 7=Strongly agree",int
WearMask,Are you more or less likely to wear a mask in public than you were 2 weeks ago?,"1=A lot less likely, 5=A lot more likely",int
NeighborMasks,Do you see people in your neighborhood wearing masks more or less now compared to 2 weeks ago?,"1=A lot less mask wearing in my neighborhood, 5=A lot more mask wearing in my neighborhood",int
SafetyProtests,How concerned are you about your own safety or the safety of your family given the current protests/political unrest in your country related to the death of George Floyd?,"1= People are not protesting in my city, 2=Not at all, 8=Very much",int
MoneyProtests,"In the last several weeks, how much money have you donated to help the recent protests/demonstrations or causes/organizations related to the death of George Floyd?","Free input, numbers only",int
CurrencyProtests,What type of currency was this?,"1= US dollar (USD), 2= Euro (EUR), 3= Japanese yen (JPY), 4= British pound (GBP), 5=Australian dollar (AUD), 6=Canadian dollar (CAD), 7= Swiss franc (CHF), 8= Chinese renminbi (CNH), 9= Swedish krona (SEK), 10= New Zealand dollar (NZD)",int
ParticipatedProtests,Have you participated in protests/demonstrations related to the death of George Floyd in the last several weeks?,"1=No, 2=Yes",int
LikelyToProtests,How likely are you to participate in protests/demonstrations related to the death of George Floyd? ,"1=Not at all, 7=Very Likely",int
COVIDaffectProtest,How much has COVID-19 affected your decision to participate or not in protests/demonstrations related to the death of George Floyd?,"1=Not at all, 7=It's a big factor",int
RiskProtests1,I am likely to ask parents or friends for help dealing with the current political unrest/protests,"1=Do not agree at all, 7=Strongly agree",int
RiskProtests2,I have been stocking up on supplies so that I am prepared to keep myself safe during the current political unrest/protests,"1=Do not agree at all, 7=Strongly agree",int
RiskProtests3,"I completely avoid situations that could put my safety at risk, like avoiding attending protests and demonstrations","1=Do not agree at all, 7=Strongly agree",int
RiskProtests4,"I manage my risk of being part of protests and demonstrations, for example by wearing a mask, using hand sanitizer and keeping distance from others","1=Do not agree at all, 7=Strongly agree",int
RiskProtests5,Taking part in protests is more important than keeping my risk of coronavirus low,"1=Do not agree at all, 7=Strongly agree",int
TimesHelpGiven1,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Giving money to somebody you know who needs it","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven2,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing up to date information","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven3,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing food or water","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven4,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing cleaning supplies","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven5,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing medical supplies","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven6,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing help with childcare","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
TimesHelpGiven7,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you helped others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include money that you donated to charity, or time you spent volunteering. Providing emotional support","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived1,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving money from somebody you know when you needed it","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived2,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving up to date information","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived3,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving food or water","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived4,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving cleaning supplies","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived5,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving medical supplies","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived6,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving help with childcare","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
HelpReceived7,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received help from others that you know (e.g., family, friends, neighbors) because of the following reasons? Do not include goods received from charities, or time strangers volunteered. Receiving emotional support","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
ReceivedCharity,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you received assistance or goods from charities? ","1=0 times, 2=1-2 times, 3=3-5 times, 4=6-10 times, 5=11-15 times, 6=16-20 times, 7=More than 20 times",int
GivenCharity,"Since March 11, when COVID-19 was declared a global pandemic, how many times have you donated money, goods or your time to charities?",,int
Motivations1,I help others because I feel compassion toward people in need,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations2,People with whom I am close place a high value on helping others,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations3,Helping others puts too much of a strain on me,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations4,Helping others enables me to obtain recognition,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations5,Helping others makes me feel happy,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations6,"When I give money to charitable causes, I find it important that 100% of my contribution goes to the beneficiaries and will not be used for overhead","1=Does not fit my personality at all, 7=Fits my personality",int
Motivations7,Sometimes I help others because I see other people helping on social media and I feel pressured or guilty.,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations8,"When I help others, I do so with my heart rather than my head","1=Does not fit my personality at all, 7=Fits my personality",int
Motivations9,My religion is an important driver for my helping behavior,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations10,I help others because I have so much in my life to be thankful for,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations11,I help others to decrease the injustice in this world,"1=Does not fit my personality at all, 7=Fits my personality",int
Motivations12,Sometimes I help others because I see other people helping on social media and I feel pressured or guilty.,"1=Does not fit my personality at all, 7=Fits my personality",int
Chaos1,I get a kick when natural disasters strike in foreign countries,"1=Strongly disagree, 7=Strongly agree",int
Chaos2,I fantasize about a natural disaster wiping out most of humanity such that a small group of people can start all over,"1=Strongly disagree, 7=Strongly agree",int
Chaos3,I think society should be burned to the ground,"1=Strongly disagree, 7=Strongly agree",int
Chaos4,"When I think about our political and social institutions, I cannot help thinking just let them all burn","1=Strongly disagree, 7=Strongly agree",int
Chaos5,"We cannot fix the problems in our societal institutions, we need to tear them down and start over","1=Strongly disagree, 7=Strongly agree",int
Chaos6,I need chaos around me - it is too boring if nothing is going on,"1=Strongly disagree, 7=Strongly agree",int
Chaos7,Sometimes I just feel like destroying beautiful things,"1=Strongly disagree, 7=Strongly agree",int
Chaos8,There is no right and wrong in the world,"1=Strongly disagree, 7=Strongly agree",int
Chaos9,"When I think about our current political and social institutions, I feel proud","1=Strongly disagree, 7=Strongly agree",int
Chaos10,"I believe that we can fix the problems in our societal institutions, it just takes hard work","1=Strongly disagree, 7=Strongly agree",int
Chaos11,I do not feel good unless there is order around me - I do not like chaotic situations,"1=Strongly disagree, 7=Strongly agree",int
Chaos12,I think we should all work together to preserve the beauty and order of the world we live in,"1=Strongly disagree, 7=Strongly agree",int
FutureConsequences1,I often engage in activities to achieve outcomes that may not result for many years,"1= not at all like me), 7= very much like me",int
FutureConsequences2,"I only act to satisfy present concerns, figuring the future will take care of itself","1= not at all like me), 7= very much like me",int
FutureConsequences3,My behavior is only influenced by the short-term (a matter of days or weeks) outcomes of my actions,"1= not at all like me), 7= very much like me",int
FutureConsequences4,I generally ignore warnings about possible future problems because I think the problems will be resolved before they reach crisis level,"1= not at all like me), 7= very much like me",int
FutureConsequences5,I think that sacrificing now is usually unnecessary since future outcomes can be dealt with at a later time,"1= not at all like me), 7= very much like me",int
FutureConsequences6,"I only act to satisfy immediate concerns, figuring that I will take care of future problems that may occur at a later date","1= not at all like me), 7= very much like me",int
FutureConsequences7,My day to day work is more important to me than behavior that has distant outcomes,"1= not at all like me), 7= very much like me",int
FoodInsecurity1,"Since March 11, when COVID-19 was declared a global pandemic I worried whether my food would run out before I was able to get more","1=Never, 2=Sometimes, 3=Often",int
FoodInsecurity2,"Since March 11, when COVID-19 was declared a global pandemic I cut the size of meals or skipped meals because there was not enough food","1=Never, 2=Sometimes, 3=Often",int
FoodInsecurity3,"Since March 11, when COVID-19 was declared a global pandemic I lost weight because there was not enough food","1=Never, 2=Sometimes, 3=Often",int
Housing1,"Since March 11, when COVID-19 was declared a global pandemic I did not pay full amount of rent or mortgage","1=Never, 2=Sometimes, 3=Often",int
Housing2,"Since March 11, when COVID-19 was declared a global pandemic I did not pay full amount of utilities","1=Never, 2=Sometimes, 3=Often",int
Housing3,"Since March 11, when COVID-19 was declared a global pandemic I moved in with people due to financial problems","1=Never, 2=Sometimes, 3=Often",int
Homeless,"Since March 11, when COVID-19 was declared a global pandemic have you experienced homelessness?","1= never, 2= sometimes, 3= often",int
GreenSettings,"Since March 11, when COVID-19 was declared a global pandemic have you utilized green settings such as parks, gardens, forests, waterbodies, etc. to find peace, relax or de-stress?","1= never, 2= sometimes, 3= often",int
OutdoorRec,"To cope with the disruptions and increased demands of COVID-19, have you turned to outdoor recreation to take care of yourself and support your physical or mental health?","1= never, 2= sometimes, 3= often",int
Movies,Please indicate whether you have seen the following movies (select all that apply):,"1 = 12 Monkeys (1995)††
2 = 12 Monkeys (2015)††
3 = 28 Days Later (2002)†
4 = The 100 (2014-2020)††
5 = 28 Weeks Later (2007)†
6 = A Quiet Place (2018)†
15 = The Andromeda Strain (1971)††
16 = Annihilation (2018)†
17 = Ash vs Evil Dead (2015-2018)††
18 = Bird Box (2018)†
19 = Black Summer (2019)††
20 = Book of Eli (2010)†
21 = Cell (2016)†
22 = Children of Men (2006)†
23 = Cloverfield (2008)††
24 = Colony (2016-2018)††
25 = The Crazies (2010)†
26 = Dawn of the Dead (1978)†
27 = Dawn of the Dead (2004)†
28 = The Day After Tomorrow (2004)††
29 = Day of the Dead (1985)††
30 = Dead Set (2008)†
31 = Dead Snow (2009)†
32 = Falling Skies (2011-2015)††
33 = Fear the Walking Dead (2015-present)†
34 = Freakish (2016-2017)††
35 = Glitch (2015-2019)††
36 = I Am Legend (2007)††
37 = Independence Day (1996)††
38 = It Comes At Night (2017)†
39 = JeruZalem (2015)†
40 = Mad Max (1979)††
41 = Mad Max: Fury Road (2015)††
47 = Mutants (2009)†
48 = Night of the Living Dead (1968)†
49 = The Omega Man (1971)††
50 = Patient Zero (2018)†
51 = Pandemic (2016)†
46 = Pontypool (2008)†
53 = Quarantine (2008)†
54 = The Rain (2018)††
55 = REC (2007)††
56 = Resident Evil (2002)††
57 = The Returned (2015)†
58 = The Road (2009)††
59 = Shaun of the Dead (2004)†
60 = The Serpent and the Rainbow (1988)†
61 = Snowpiercer (2013)†
52 = The Stand (1994)†
62 = Train to Busan (2016)†
63 = The Walking Dead (2010-present)††
64 = Warm Bodies (2013)††
65 = World War Z (2013)††
66 = Z Nation (2014)††
67 = Zombieland (2009)††
68 = Zombieland: Double Tap (2019) ",string
Discounting1,Please select the amount of money at the indicated time that you would prefer,"1=$26 right now, 2=$59 in 17 days",int
Discounting2,Please select the amount of money at the indicated time that you would prefer,"1=$69 right now , 2=$85 in 91 days",int
Discounting3,Please select the amount of money at the indicated time that you would prefer,"1=$47 right now, 2=$80 in 25 days",int
Discounting4,Please select the amount of money at the indicated time that you would prefer,"1=$11 right now, 2=$30 in 7 days",int
Discounting5,Please select the amount of money at the indicated time that you would prefer,"1=$34 right now, 2=$50 in 30 days",int
Discounting6,Please select the amount of money at the indicated time that you would prefer,"1=$17 right now, 2=$29 in 25 days",int
Discounting7,Please select the amount of money at the indicated time that you would prefer,"1=$23 right now, 2=$60 in 10 days",int
Discounting8,Please select the amount of money at the indicated time that you would prefer,"1=$40 right now, 2=$55 in 62 days",int
Discounting9,Please select the amount of money at the indicated time that you would prefer,"1=$32 right now, 2=$83 in 10 days",int
Discounting10,Please select the amount of money at the indicated time that you would prefer,"1=$27 right now, 2=$50 in 21 days",int
Discounting11,Please select the amount of money at the indicated time that you would prefer,"1=$25 right now, 2=$60 in 14 days",int
Discounting12,Please select the amount of money at the indicated time that you would prefer,"1=$41 right now, 2=$75 in 20 days",int
Discounting13,Please select the amount of money at the indicated time that you would prefer,"1=$14 right now, 2=$25 in 19 days",int
Discounting14,Please select the amount of money at the indicated time that you would prefer,"1=$55 right now , 2=$75 in 61 days",int
Discounting15,Please select the amount of money at the indicated time that you would prefer,"1=$33 right now, 2=$80 in 14 days",int
Discounting16,Please select the amount of money at the indicated time that you would prefer,"1=$15 right now, 2=$33 in 16 days",int
Discounting17,Please select the amount of money at the indicated time that you would prefer,"1=$49 right now, 2=$60 in 89 days",int
Discounting18,Please select the amount of money at the indicated time that you would prefer,"1=$30 right now, 2=$51 in 25 days",int
Discounting19,Please select the amount of money at the indicated time that you would prefer,"1=$19 right now , 2=$25 in 53 days",int
Discounting20,Please select the amount of money at the indicated time that you would prefer,"1=$24 right now , 2=$35 in 29 days",int
Discounting21,Please select the amount of money at the indicated time that you would prefer,"1=$15 right now, 2=$35 in 29 days",int
Discounting22,Please select the amount of money at the indicated time that you would prefer,"1=$20 right now, 2=$55 in 7 days",int
Discounting23,Please select the amount of money at the indicated time that you would prefer,"1=$31 right now, 2=$85 in 7 days",int
Discounting24,Please select the amount of money at the indicated time that you would prefer,"1=$25 right now, 2=$30 in 80 days",int
Discounting25,Please select the amount of money at the indicated time that you would prefer,"1=$15 right now, 2=$39 in 10 days",int
Discounting26,Please select the amount of money at the indicated time that you would prefer,"1=$37 right now, 2=$84 in 17 days",int
Discounting27,Please select the amount of money at the indicated time that you would prefer,"1=$54 right now, 2=$80 in 30 days",int
Job1,How likely do you think it is that you will lose your job because of the economic downturn associated with COVID-19,"1=Not at all likely, 7=Extremely likely, 8=Already have lost job",int
Job2,"If you lost your job, how long do you think it would take to find another one? ","1=Less than 1 month, 2=1month, 3=2months, 4=3 months, 5=4 months, 6=5 months, 7=6 months, 8=more than 6 months",int
Job3,"If you didn't have a job, how long would your savings last?","1=Already have used all of my savings, 2=1 month, 3=2 months, 4=3 months, 5=4 months, 6=5 months, 7=6 months, 8=More than 6 months",int
ImportantSocialDist,How important is it to you to maintain social distancing now to help prevent a spike in COVID-19 cases in a few months from now? (,"1=Not at all important, 7=Extremely important",int
MaskPreventSurge,"How important is it to you to wear a mask in public now to help prevent a spike in COVID-19 cases in a few months from now? (1=Not at all important, 7=Extremely important)","1=Not at all important, 7=Extremely important",int
COVIDspike,How likely do you think it is that there will be a spike of COVID-19 cases in a few months from now?,"1=Not at all likely, 7=Extremely likely",int
CareerImpact,How much of an impact will COVID19 have on your career path in 3-6 months from now? ,"1=Extremely positive, 7=Extremely negative",int
CareerImpact5yrs,What effect will it have on your career path in five years from now?,"1=Extremely positive, 7=Extremely negative",int
COVIDthreat,How much of a threat do you believe COVID-19 poses to public health?,"1=No threat at all, 7=Extremely severe threat",int
Response2ndWave,"Government efforts to slow the spread of COVID-19 have led to severe economic consequences. Assuming we have re-opened completely and a second wave hits in a few months, how should we respond? ","1=Keep economy open, 4=Partial shutdown, 7=Complete shutdown",int
HowLongSocialDist,How long would you be willing to practice social distancing to limit the spread of the disease?,"1=Not at all, 2=Two weeks, 3=One month, 4=Two months, 5=Four months, 6=Six months, 7=Nine months, 8=1 year, 9=1.5 years, 10=2 years, 11=More than 2 years, 12=Forever",int
HowLongMask,How long would you be willing to wear a mask in public spaces to limit the spread of the disease?,"1=Not at all, 2=Two weeks, 3=One month, 4=Two months, 5=Four months, 6=Six months, 7=Nine months, 8=1 year, 9=1.5 years, 10=2 years, 11=More than 2 years, 12=Forever",int
ProportionWearMask1,What proportion of individuals in your neighborhood wear a mask while shopping?,"1=None, 7=All",int
ProportionWearMask2,"What proportion of your family have modified their behavior (e.g., practice social distancing or wear masks) to prevent spread of COVID-19?","1=None, 7=All",int
ProportionWearMask3,What percentage of your CLOSE FRIENDS have modified their behavior to prevent the spread of COVID-19,"1=None, 7=All",int
ProportionWearMask4,What percentage of individuals in your NEIGHBORHOOD have modified their behavior to prevent the spread of COVID-19?,"1=None, 7=All",int
ClosestMask,Think about the people you are closest with. How important do they believe it is for people to modify their behavior to prevent the spread of COVID-19? (,"1=Not at all important, 7=Extremely important",int
CFC1,"I consider how things might be in the future, and try to influence those things with my day to day behavior.","1= not at all like me, 7= very much like me",int
CFC2,My convenience is a big factor in the decisions I make or the actions I take,"1= not at all like me, 7= very much like me",int
CFC3,I am willing to sacrifice my immediate happiness or well-being in order to achieve future outcomes,"1= not at all like me, 7= very much like me",int
CFC4,I think it is important to take warnings about negative outcomes seriously even if the negative outcome will not occur for many years,"1= not at all like me, 7= very much like me",int
CFC5,I think it is more important to perform a behavior with important distant consequences than a behavior with less important immediate consequences,"1= not at all like me, 7= very much like me",int
CFC6,"When I make a decision, I think about how it might affect me in the future","1= not at all like me, 7= very much like me",int
CFC7,My behavior is generally influenced by future consequences,"1= not at all like me, 7= very much like me",int
PoliticalOrient,How would you characterize your political leanings? ,"1 = extremely to the left, 7 = extremely to the right",int
Contacts24hrs,"How many people (outside of your household) have you had in-person interactions with during the last 24 hours (e.g., visiting with friends, buying food or supplies from a cashier)?","Free input, numbers only",int
Contacts7days,"How many people (outside of your household) have you had in-person interactions with during the last 7 days (e.g., visiting with friends, buying food or supplies from a cashier)?","Free input, numbers only",int
ContactsMask,"During these in-person interactions, if you were closer than 6 feet (2 meters) from the person(s) did you wear a face mask?","1=Never, 3=Half the time, 5=Always",int
SelfIsolation,"Since March 13, when COVID-19 was declared a global pandemic, have you been self-isolating (no physical contact with people outside of your household)?","1=Never, 3=Half the time, 5=Always",int
HouseHoldIsolation,"Since March 13, when COVID-19 was declared a global pandemic, have members of your household been isolating (no physical contact with people outside of your household)?","1=Never, 3=Half the time, 5=Always",int
HouseHoldMask,When members of your household have in-person interactions with people outside your household do they wear a mask and/or stay 6 feet (2 meters) away from the person(s)?,"1=Never, 3=Half the time, 5=Always",int
LargeGroups,"Since March 13, when COVID-19 was declared a global pandemic, how many times have you been exposed to large groups of people (i.e., more than 10 people) while being indoors? Numbers only.","Free text, numbers only",int
LargeGroupReason1,"If you have been exposed to large groups of people (i.e., more than 10 people), what were the reasons? (select all that apply) Family reasons","1= false, 2= true",int
LargeGroupReason2,"If you have been exposed to large groups of people (i.e., more than 10 people), what were the reasons? (select all that apply) Social reasons","1= false, 2= true",int
LargeGroupReason3,"If you have been exposed to large groups of people (i.e., more than 10 people), what were the reasons? (select all that apply)Work-related reasons","1= false, 2= true",int
LargeGroupReason4,"If you have been exposed to large groups of people (i.e., more than 10 people), what were the reasons? (select all that apply) Other reasons","1= false, 2= true",int
LargeGroupReason1text,What was the most common family circumstance that brought you together with more than 10 people?,Free text ,string
LargeGroupReason2text,What was the most common social circumstance that brought you together with more than 10 people?,Free text ,string
LargeGroupReason3text,What was the most common work-related situation that brought you together with more than 10 people?,Free text ,string
LargeGroupReason4text,Briefly describe the other type of situation that brought you together with more than 10 people.,Free text ,string
SchoolAge,Do you have any school-aged children who may be returning to school in the next few weeks? ,"1= no, 2= yes, 3= my children have already returned to school",int
ConcernBack2School,"Given the current state of the pandemic where you live, how concerned are you at the prospect of your children physically returning to school? ","1=Not at all, 7=Extremely",int
MethodSchool,"Given the current state of the pandemic, what is/will be your children's method of schooling?","1=In-person, 2=Online, 3=Mixed in-person and online, 4=Homeschool, 5=Other",int
MethodSchoolOther,"Given the current state of the pandemic, what is/will be your children's method of schooling? (Specify if response was other on MethodSchool)",Free text,string
PreferredMethod,Is this your preferred method of schooling?,"1=No, 2=Yes",int
IfNotPreferred,"If not, what would be your preferred method of schooling your children?","1=In-person, 2=Online, 3=Mixed in-person and online, 4=Homeschool, 5=Other",int
IfNotPreferredOther,If the response to IfNotPreferred was 5 (Other) participants could add additional free text here,Free text ,string
Streneous,"During a typical 7-Day period (a week), how many times on the average do you do streneous exercise for more than 15 minutes during your free time?","Free input, numbers only",int
Moderate,"During a typical 7-Day period (a week), how many times on the average do you do moderate exercise for more than 15 minutes during your free time?","Free input, numbers only",int
Mild,"During a typical 7-Day period (a week), how many times on the average do you do mild exercise for more than 15 minutes during your free time?","Free input, numbers only",int
Sweat,"During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly)?","1=Often, 2=Sometimes, 3=Rarely/Never",int
ActivityCovid,"Compared to your life before the Covid-19 Pandemic response, are you more active, equally active, or less active? ","1=More active, 2=Equally active, 3=Less active",int
ActivityChanges,"Next, think about your physical activity patterns before the Covid-19 pandemic response compared to your activity patterns now. How have your activity patterns changed? Think about the physical activity setting (in the gym, at home, outside, inside), the social context (group vs alone), the type of activities you performed, the frequency and duration of activity (how often and how long), and the intensity of the activity (how hard is the exercise)",Free text,string
PT1,"I sometimes find it difficult to see things from the ""other guy's"" point of view","1=Does not describe me well, 5=Describes me very well",int
PT2,I try to look at everybody's side of a disagreement before I make a decision,"1=Does not describe me well, 5=Describes me very well",int
PT3,I sometimes try to understand others better by imagining how things look from their perspective,"1=Does not describe me well, 5=Describes me very well",int
PT4,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments","1=Does not describe me well, 5=Describes me very well",int
PT5,I believe that there are two sides to every question and try to look at them both,"1=Does not describe me well, 5=Describes me very well",int
PT6,"When I'm upset at someone, I usually try to ""put myself in their shoes"" for a while","1=Does not describe me well, 5=Describes me very well",int
PT7,"Before criticizing somebody, I try to imagine how I would feel if I were in their place","1=Does not describe me well, 5=Describes me very well",int
RMET8,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Despondent",string
RMET9,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Preoccupied",string
RMET12,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Sceptical",string
